Year,Value,Unit multiplier,UNIT_MEASURE,SERIES
2010,18.0,Units,Number,Number of insurance companies reporting
2011,18.0,Units,Number,Number of insurance companies reporting
2012,19.0,Units,Number,Number of insurance companies reporting
2013,19.0,Units,Number,Number of insurance companies reporting
2014,21.0,Units,Number,Number of insurance companies reporting
2015,22.0,Units,Number,Number of insurance companies reporting
2016,24.0,Units,Number,Number of insurance companies reporting
2017,23.0,Units,Number,Number of insurance companies reporting
2018,22.0,Units,Number,Number of insurance companies reporting
2019,20.0,Units,Number,Number of insurance companies reporting
2020,15.0,Units,Number,Number of insurance companies reporting
2010,477.2,Millions,Local currency,Insurance premiums collected
2011,292.9,Millions,Local currency,Insurance premiums collected
2012,337.8,Millions,Local currency,Insurance premiums collected
2013,405.4,Millions,Local currency,Insurance premiums collected
2014,1003.2,Millions,Local currency,Insurance premiums collected
2015,967.0,Millions,Local currency,Insurance premiums collected
2016,921.3,Millions,Local currency,Insurance premiums collected
2017,1004.4,Millions,Local currency,Insurance premiums collected
2018,1092.7,Millions,Local currency,Insurance premiums collected
2019,1308.1,Millions,Local currency,Insurance premiums collected
2020,1308.3,Millions,Local currency,Insurance premiums collected
