Year,Value,Series
2007,10.1,Proportion of population receiving retirement benefits to total population
2008,10.6,Proportion of population receiving retirement benefits to total population
2009,10.527481,Proportion of population receiving retirement benefits to total population
2010,10.608791,Proportion of population receiving retirement benefits to total population
2011,10.838101,Proportion of population receiving retirement benefits to total population
2012,11.043937,Proportion of population receiving retirement benefits to total population
2013,10.825698,Proportion of population receiving retirement benefits to total population
2014,10.759191,Proportion of population receiving retirement benefits to total population
2015,10.746011,Proportion of population receiving retirement benefits to total population
2016,10.768411,Proportion of population receiving retirement benefits to total population
2017,10.760094,Proportion of population receiving retirement benefits to total population
2018,10.874701,Proportion of population receiving retirement benefits to total population
2019,10.95936,Proportion of population receiving retirement benefits to total population
2007,8.277782,Proportion of population receiving Monthly Allowance for Low-Income Families to total population
2008,6.836681,Proportion of population receiving Monthly Allowance for Low-Income Families to total population
2009,6.9150160000000005,Proportion of population receiving Monthly Allowance for Low-Income Families to total population
2010,6.6,Proportion of population receiving Monthly Allowance for Low-Income Families to total population
2011,6.879721000000001,Proportion of population receiving Monthly Allowance for Low-Income Families to total population
2012,6.187625,Proportion of population receiving Monthly Allowance for Low-Income Families to total population
2013,5.8,Proportion of population receiving Monthly Allowance for Low-Income Families to total population
2014,5.3,Proportion of population receiving Monthly Allowance for Low-Income Families to total population
2015,5.1,Proportion of population receiving Monthly Allowance for Low-Income Families to total population
2016,4.5,Proportion of population receiving Monthly Allowance for Low-Income Families to total population
2017,4.7,Proportion of population receiving Monthly Allowance for Low-Income Families to total population
2018,4.5,Proportion of population receiving Monthly Allowance for Low-Income Families to total population
2019,4.7,Proportion of population receiving Monthly Allowance for Low-Income Families to total population
2007,1.124026,Proportion of population receiving social assistance
2008,1.1507020000000001,Proportion of population receiving social assistance
2009,1.176048,Proportion of population receiving social assistance
2010,1.2,Proportion of population receiving social assistance
2011,1.287183,Proportion of population receiving social assistance
2012,1.283635,Proportion of population receiving social assistance
2013,1.3,Proportion of population receiving social assistance
2014,1.3,Proportion of population receiving social assistance
2015,1.3,Proportion of population receiving social assistance
2016,1.4,Proportion of population receiving social assistance
2017,1.4,Proportion of population receiving social assistance
2018,1.4,Proportion of population receiving social assistance
2019,1.4,Proportion of population receiving social assistance
