Year,Value,SERIES
2010,1308,Number of women who contacted forensic medical units due to domestic violence
2011,1453,Number of women who contacted forensic medical units due to domestic violence
2012,1900,Number of women who contacted forensic medical units due to domestic violence
2013,1589,Number of women who contacted forensic medical units due to domestic violence
2014,1988,Number of women who contacted forensic medical units due to domestic violence
2015,936,Number of women who contacted forensic medical units due to domestic violence
2016,1172,Number of women who contacted forensic medical units due to domestic violence
2017,1382,Number of women who contacted forensic medical units due to domestic violence
2018,1305,Number of women who contacted forensic medical units due to domestic violence
2019,1764,Number of women who contacted forensic medical units due to domestic violence
2020,1713,Number of women who contacted forensic medical units due to domestic violence
2021,1860,Number of women who contacted forensic medical units due to domestic violence
2010,68,Number of women who contacted paramedic-midwifery units due to domestic violence
2011,155,Number of women who contacted paramedic-midwifery units due to domestic violence
2012,16,Number of women who contacted paramedic-midwifery units due to domestic violence
2013,48,Number of women who contacted paramedic-midwifery units due to domestic violence
2014,35,Number of women who contacted paramedic-midwifery units due to domestic violence
2015,12,Number of women who contacted paramedic-midwifery units due to domestic violence
2016,2,Number of women who contacted paramedic-midwifery units due to domestic violence
2017,1,Number of women who contacted paramedic-midwifery units due to domestic violence
2019,2,Number of women who contacted paramedic-midwifery units due to domestic violence
2020,1,Number of women who contacted paramedic-midwifery units due to domestic violence
2021,1,Number of women who contacted paramedic-midwifery units due to domestic violence
2010,401,"Number of women who contacted healthcare organizations that provide health
and preventive care, due to domestic violence"
2011,581,"Number of women who contacted healthcare organizations that provide health
and preventive care, due to domestic violence"
2012,509,"Number of women who contacted healthcare organizations that provide health
and preventive care, due to domestic violence"
2013,508,"Number of women who contacted healthcare organizations that provide health
and preventive care, due to domestic violence"
2014,495,"Number of women who contacted healthcare organizations that provide health
and preventive care, due to domestic violence"
2015,666,"Number of women who contacted healthcare organizations that provide health
and preventive care, due to domestic violence"
2016,657,"Number of women who contacted healthcare organizations that provide health
and preventive care, due to domestic violence"
2017,629,"Number of women who contacted healthcare organizations that provide health
and preventive care, due to domestic violence"
2018,555,"Number of women who contacted healthcare organizations that provide health
and preventive care, due to domestic violence"
2019,539,"Number of women who contacted healthcare organizations that provide health
and preventive care, due to domestic violence"
2020,379,"Number of women who contacted healthcare organizations that provide health
and preventive care, due to domestic violence"
2021,510,"Number of women who contacted healthcare organizations that provide health
and preventive care, due to domestic violence"
2010,414,"Number of women who contacted ambulance stations (units, hospitals) due to domestic violence"
2011,320,"Number of women who contacted ambulance stations (units, hospitals) due to domestic violence"
2012,498,"Number of women who contacted ambulance stations (units, hospitals) due to domestic violence"
2013,822,"Number of women who contacted ambulance stations (units, hospitals) due to domestic violence"
2014,570,"Number of women who contacted ambulance stations (units, hospitals) due to domestic violence"
2015,485,"Number of women who contacted ambulance stations (units, hospitals) due to domestic violence"
2016,372,"Number of women who contacted ambulance stations (units, hospitals) due to domestic violence"
2017,176,"Number of women who contacted ambulance stations (units, hospitals) due to domestic violence"
2018,47,"Number of women who contacted ambulance stations (units, hospitals) due to domestic violence"
2019,211,"Number of women who contacted ambulance stations (units, hospitals) due to domestic violence"
2020,180,"Number of women who contacted ambulance stations (units, hospitals) due to domestic violence"
2021,178,"Number of women who contacted ambulance stations (units, hospitals) due to domestic violence"
2010,445,Number of women treated for injuries resulting from domestic violence
2011,491,Number of women treated for injuries resulting from domestic violence
2012,504,Number of women treated for injuries resulting from domestic violence
2013,600,Number of women treated for injuries resulting from domestic violence
2014,731,Number of women treated for injuries resulting from domestic violence
2015,1896,Number of women treated for injuries resulting from domestic violence
2016,1404,Number of women treated for injuries resulting from domestic violence
2017,1084,Number of women treated for injuries resulting from domestic violence
2018,970,Number of women treated for injuries resulting from domestic violence
2019,939,Number of women treated for injuries resulting from domestic violence
2020,798,Number of women treated for injuries resulting from domestic violence
2021,822,Number of women treated for injuries resulting from domestic violence
