Year,Value,SERIES
2010,1308,Number of women reporting domestic violence to forensic medical examination departments
2011,1453,Number of women reporting domestic violence to forensic medical examination departments
2012,1900,Number of women reporting domestic violence to forensic medical examination departments
2013,1589,Number of women reporting domestic violence to forensic medical examination departments
2014,1988,Number of women reporting domestic violence to forensic medical examination departments
2015,936,Number of women reporting domestic violence to forensic medical examination departments
2016,1172,Number of women reporting domestic violence to forensic medical examination departments
2017,1382,Number of women reporting domestic violence to forensic medical examination departments
2018,1305,Number of women reporting domestic violence to forensic medical examination departments
2019,1764,Number of women reporting domestic violence to forensic medical examination departments
2020,1701,Number of women reporting domestic violence to forensic medical examination departments
2021,1604,Number of women reporting domestic violence to forensic medical examination departments
2022,1373,Number of women reporting domestic violence to forensic medical examination departments
2023,1209,Number of women reporting domestic violence to forensic medical examination departments
2010,68,Number of women reporting domestic violence to feldsher-midwife stations
2011,155,Number of women reporting domestic violence to feldsher-midwife stations
2012,16,Number of women reporting domestic violence to feldsher-midwife stations
2013,48,Number of women reporting domestic violence to feldsher-midwife stations
2014,35,Number of women reporting domestic violence to feldsher-midwife stations
2015,12,Number of women reporting domestic violence to feldsher-midwife stations
2016,2,Number of women reporting domestic violence to feldsher-midwife stations
2017,1,Number of women reporting domestic violence to feldsher-midwife stations
2019,2,Number of women reporting domestic violence to feldsher-midwife stations
2020,1,Number of women reporting domestic violence to feldsher-midwife stations
2021,1,Number of women reporting domestic violence to feldsher-midwife stations
2010,401,Number of women reporting domestic violence to primary health care organizations providing medical and preventive services (PHC)
2011,581,Number of women reporting domestic violence to primary health care organizations providing medical and preventive services (PHC)
2012,509,Number of women reporting domestic violence to primary health care organizations providing medical and preventive services (PHC)
2013,508,Number of women reporting domestic violence to primary health care organizations providing medical and preventive services (PHC)
2014,495,Number of women reporting domestic violence to primary health care organizations providing medical and preventive services (PHC)
2015,666,Number of women reporting domestic violence to primary health care organizations providing medical and preventive services (PHC)
2016,657,Number of women reporting domestic violence to primary health care organizations providing medical and preventive services (PHC)
2017,629,Number of women reporting domestic violence to primary health care organizations providing medical and preventive services (PHC)
2018,555,Number of women reporting domestic violence to primary health care organizations providing medical and preventive services (PHC)
2019,539,Number of women reporting domestic violence to primary health care organizations providing medical and preventive services (PHC)
2020,379,Number of women reporting domestic violence to primary health care organizations providing medical and preventive services (PHC)
2021,510,Number of women reporting domestic violence to primary health care organizations providing medical and preventive services (PHC)
2022,117,Number of women reporting domestic violence to primary health care organizations providing medical and preventive services (PHC)
2023,373,Number of women reporting domestic violence to primary health care organizations providing medical and preventive services (PHC)
2010,414,Number of women reporting domestic violence to emergency medical services (EMS)
2011,320,Number of women reporting domestic violence to emergency medical services (EMS)
2012,498,Number of women reporting domestic violence to emergency medical services (EMS)
2013,822,Number of women reporting domestic violence to emergency medical services (EMS)
2014,570,Number of women reporting domestic violence to emergency medical services (EMS)
2015,485,Number of women reporting domestic violence to emergency medical services (EMS)
2016,372,Number of women reporting domestic violence to emergency medical services (EMS)
2017,176,Number of women reporting domestic violence to emergency medical services (EMS)
2018,47,Number of women reporting domestic violence to emergency medical services (EMS)
2019,211,Number of women reporting domestic violence to emergency medical services (EMS)
2020,180,Number of women reporting domestic violence to emergency medical services (EMS)
2021,178,Number of women reporting domestic violence to emergency medical services (EMS)
2022,154,Number of women reporting domestic violence to emergency medical services (EMS)
2023,115,Number of women reporting domestic violence to emergency medical services (EMS)
