Year,Value,UNIT_MEASURE,SERIES
2019,484.0,Number,Number of local governments
2020,484.0,Number,Number of local governments
2021,484.0,Number,Number of local governments
2022,484.0,Number,Number of local governments
2023,484.0,Number,Number of local governments
2019,10.12397,Percent,Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies
2020,13.2,Percent,Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies
2021,21.5,Percent,Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies
2022,34.5,Percent,Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies
2023,40.53,Percent,Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies
2019,49.0,Number,Number of local governments that adopt and implement local DRR strategies in line with national strategies
2020,67.0,Number,Number of local governments that adopt and implement local DRR strategies in line with national strategies
2021,104.0,Number,Number of local governments that adopt and implement local DRR strategies in line with national strategies
2022,167.0,Number,Number of local governments that adopt and implement local DRR strategies in line with national strategies
2023,169.0,Number,Number of local governments that adopt and implement local DRR strategies in line with national strategies
