Year,Value,SERIES
2007,2.1,Proportion of drinking water samples that do not meet established sanitary-chemical standards
2008,2.4,Proportion of drinking water samples that do not meet established sanitary-chemical standards
2009,2.0,Proportion of drinking water samples that do not meet established sanitary-chemical standards
2010,2.9,Proportion of drinking water samples that do not meet established sanitary-chemical standards
2011,2.0,Proportion of drinking water samples that do not meet established sanitary-chemical standards
2012,2.5,Proportion of drinking water samples that do not meet established sanitary-chemical standards
2013,2.5,Proportion of drinking water samples that do not meet established sanitary-chemical standards
2014,1.3,Proportion of drinking water samples that do not meet established sanitary-chemical standards
2015,1.6,Proportion of drinking water samples that do not meet established sanitary-chemical standards
2016,2.1,Proportion of drinking water samples that do not meet established sanitary-chemical standards
2017,2.0,Proportion of drinking water samples that do not meet established sanitary-chemical standards
2018,1.7,Proportion of drinking water samples that do not meet established sanitary-chemical standards
2019,1.4,Proportion of drinking water samples that do not meet established sanitary-chemical standards
2020,1.1,Proportion of drinking water samples that do not meet established sanitary-chemical standards
2007,10.6,Proportion of drinking water samples that do not meet established microbiological standards
2008,10.7,Proportion of drinking water samples that do not meet established microbiological standards
2009,9.5,Proportion of drinking water samples that do not meet established microbiological standards
2010,11.3,Proportion of drinking water samples that do not meet established microbiological standards
2011,12.7,Proportion of drinking water samples that do not meet established microbiological standards
2012,10.7,Proportion of drinking water samples that do not meet established microbiological standards
2013,8.4,Proportion of drinking water samples that do not meet established microbiological standards
2014,6.5,Proportion of drinking water samples that do not meet established microbiological standards
2015,7.7,Proportion of drinking water samples that do not meet established microbiological standards
2016,8.4,Proportion of drinking water samples that do not meet established microbiological standards
2017,8.1,Proportion of drinking water samples that do not meet established microbiological standards
2018,8.2,Proportion of drinking water samples that do not meet established microbiological standards
2019,8.6,Proportion of drinking water samples that do not meet established microbiological standards
2020,7.0,Proportion of drinking water samples that do not meet established microbiological standards
