Year,Value,SERIES
2007,3014,Number of written communications to the Ombudsperson
2008,2136,Number of written communications to the Ombudsperson
2009,1742,Number of written communications to the Ombudsperson
2010,1862,Number of written communications to the Ombudsperson
2011,2098,Number of written communications to the Ombudsperson
2012,2843,Number of written communications to the Ombudsperson
2013,2466,Number of written communications to the Ombudsperson
2014,2411,Number of written communications to the Ombudsperson
2015,2483,Number of written communications to the Ombudsperson
2016,3800,Number of written communications to the Ombudsperson
2017,3242,Number of written communications to the Ombudsperson
2018,3237,Number of written communications to the Ombudsperson
2019,3923,Number of written communications to the Ombudsperson
2020,3255,Number of written communications to the Ombudsperson
2021,4301,Number of written communications to the Ombudsperson
2022,3690,Number of written communications to the Ombudsperson
2023,2620,Number of written communications to the Ombudsperson
2007,619,Number of satisfactorily resolved communications to the Ombudsperson
2010,309,Number of satisfactorily resolved communications to the Ombudsperson
2011,196,Number of satisfactorily resolved communications to the Ombudsperson
2012,501,Number of satisfactorily resolved communications to the Ombudsperson
2013,384,Number of satisfactorily resolved communications to the Ombudsperson
2015,374,Number of satisfactorily resolved communications to the Ombudsperson
2016,615,Number of satisfactorily resolved communications to the Ombudsperson
2017,531,Number of satisfactorily resolved communications to the Ombudsperson
2018,376,Number of satisfactorily resolved communications to the Ombudsperson
2019,445,Number of satisfactorily resolved communications to the Ombudsperson
2020,343,Number of satisfactorily resolved communications to the Ombudsperson
2021,427,Number of satisfactorily resolved communications to the Ombudsperson
2022,280,Number of satisfactorily resolved communications to the Ombudsperson
2023,264,Number of satisfactorily resolved communications to the Ombudsperson
