Year,Value,GeoCode,SERIES
2015,2.0,,Proportion of women with registered cases of anemia
2016,1.3,,Proportion of women with registered cases of anemia
2017,1.3,,Proportion of women with registered cases of anemia
2018,1.1,,Proportion of women with registered cases of anemia
2019,0.9,,Proportion of women with registered cases of anemia
2020,0.5,,Proportion of women with registered cases of anemia
2021,0.6,,Proportion of women with registered cases of anemia
2022,0.9,,Proportion of women with registered cases of anemia
2023,0.7,,Proportion of women with registered cases of anemia
2024,0.5,,Proportion of women with registered cases of anemia
2015,52.846005,,Proportion of pregnant women with anemia among women who completed pregnancy
2016,47.502069,,Proportion of pregnant women with anemia among women who completed pregnancy
2017,52.792095,,Proportion of pregnant women with anemia among women who completed pregnancy
2018,58.958873,,Proportion of pregnant women with anemia among women who completed pregnancy
2019,55.240237,,Proportion of pregnant women with anemia among women who completed pregnancy
2020,40.422043,,Proportion of pregnant women with anemia among women who completed pregnancy
2021,35.440295,,Proportion of pregnant women with anemia among women who completed pregnancy
2022,41.1,,Proportion of pregnant women with anemia among women who completed pregnancy
2023,39.0,,Proportion of pregnant women with anemia among women who completed pregnancy
2024,31.0,,Proportion of pregnant women with anemia among women who completed pregnancy
