Year,Value,Unit multiplier,UNIT_MEASURE,SERIES
2010,99.5,Units,Percent,"GDP growth rate (decline), as a percentage of the previous year"
2011,106.0,Units,Percent,"GDP growth rate (decline), as a percentage of the previous year"
2012,99.9,Units,Percent,"GDP growth rate (decline), as a percentage of the previous year"
2013,110.9,Units,Percent,"GDP growth rate (decline), as a percentage of the previous year"
2014,104.0,Units,Percent,"GDP growth rate (decline), as a percentage of the previous year"
2015,103.9,Units,Percent,"GDP growth rate (decline), as a percentage of the previous year"
2016,104.3,Units,Percent,"GDP growth rate (decline), as a percentage of the previous year"
2017,104.7,Units,Percent,"GDP growth rate (decline), as a percentage of the previous year"
2018,103.8,Units,Percent,"GDP growth rate (decline), as a percentage of the previous year"
2019,104.6,Units,Percent,"GDP growth rate (decline), as a percentage of the previous year"
2020,91.6,Units,Percent,"GDP growth rate (decline), as a percentage of the previous year"
2010,108.0,Units,Index,"The consumer price index, as a percentage of the previous year"
2011,116.6,Units,Index,"The consumer price index, as a percentage of the previous year"
2012,102.8,Units,Index,"The consumer price index, as a percentage of the previous year"
2013,106.6,Units,Index,"The consumer price index, as a percentage of the previous year"
2014,107.5,Units,Index,"The consumer price index, as a percentage of the previous year"
2015,106.5,Units,Index,"The consumer price index, as a percentage of the previous year"
2016,100.4,Units,Index,"The consumer price index, as a percentage of the previous year"
2017,103.2,Units,Index,"The consumer price index, as a percentage of the previous year"
2018,101.5,Units,Index,"The consumer price index, as a percentage of the previous year"
2019,101.1,Units,Index,"The consumer price index, as a percentage of the previous year"
2020,106.3,Units,Index,"The consumer price index, as a percentage of the previous year"
2010,122.79,Units,Index,"Producer Price Indices, as a percentage of the previous year"
2011,122.02,Units,Index,"Producer Price Indices, as a percentage of the previous year"
2012,105.3,Units,Index,"Producer Price Indices, as a percentage of the previous year"
2013,97.92,Units,Index,"Producer Price Indices, as a percentage of the previous year"
2014,101.45,Units,Index,"Producer Price Indices, as a percentage of the previous year"
2015,108.75,Units,Index,"Producer Price Indices, as a percentage of the previous year"
2016,106.41,Units,Index,"Producer Price Indices, as a percentage of the previous year"
2017,101.66,Units,Index,"Producer Price Indices, as a percentage of the previous year"
2018,101.49,Units,Index,"Producer Price Indices, as a percentage of the previous year"
2019,104.26,Units,Index,"Producer Price Indices, as a percentage of the previous year"
2020,121.27,Units,Index,"Producer Price Indices, as a percentage of the previous year"
2010,-10767.9787,Millions,Local currency,"Budget deficit and sources of financing, milllion soms"
