Year,REF_AREA,URBANISATION,Value
2011,,,92.4
2012,,,93.2
2013,,,89.6
2014,,,88.9
2015,,,89.1
2016,,,89.9
2017,,,91.1
2018,,,91.8
2019,,,94.060699
2011,,U,99.7
2012,,U,99.8
2013,,U,99.5
2014,,U,99.1
2015,,U,99.1
2016,,U,99.3
2017,,U,93.9
2018,,U,99.3
2019,,U,99.422592
2011,,R,88.0
2012,,R,89.4
2013,,R,84.4
2014,,R,83.3
2015,,R,83.7
2016,,R,84.9
2017,,R,86.7
2018,,R,87.8
2019,,R,91.081092
2011,KG05,,69.7
2012,KG05,,70.0
2013,KG05,,73.1
2014,KG05,,74.3
2015,KG05,,73.3
2016,KG05,,74.1
2017,KG05,,79.0
2018,KG05,,83.6
2019,KG05,,81.026395
2011,KG03,,95.4
2012,KG03,,96.0
2013,KG03,,91.6
2014,KG03,,89.5
2015,KG03,,87.7
2016,KG03,,87.3
2017,KG03,,91.2
2018,KG03,,86.4
2019,KG03,,88.71095
2011,KG02,,99.0
2012,KG02,,99.0
2013,KG02,,93.7
2014,KG02,,96.8
2015,KG02,,96.4
2016,KG02,,97.3
2017,KG02,,97.0
2018,KG02,,96.0
2019,KG02,,96.284686
2011,KG04,,89.2
2012,KG04,,89.1
2013,KG04,,86.8
2014,KG04,,84.4
2015,KG04,,90.3
2016,KG04,,95.9
2017,KG04,,95.8
2018,KG04,,96.3
2019,KG04,,96.816529
2011,KG06,,86.4
2012,KG06,,88.7
2013,KG06,,73.7
2014,KG06,,72.9
2015,KG06,,74.5
2016,KG06,,76.4
2017,KG06,,77.3
2018,KG06,,83.2
2019,KG06,,92.436112
2011,KG07,,96.5
2012,KG07,,97.6
2013,KG07,,99.7
2014,KG07,,99.7
2015,KG07,,99.2
2016,KG07,,100.0
2017,KG07,,99.4
2018,KG07,,99.4
2019,KG07,,99.291966
2011,KG08,,99.6
2012,KG08,,99.8
2013,KG08,,100.0
2014,KG08,,100.0
2015,KG08,,100.0
2016,KG08,,100.0
2017,KG08,,100.0
2018,KG08,,100.0
2019,KG08,,100.0
2011,KG11,,100.0
2012,KG11,,100.0
2013,KG11,,99.8
2014,KG11,,99.8
2015,KG11,,100.0
2016,KG11,,100.0
2017,KG11,,100.0
2018,KG11,,100.0
2019,KG11,,100.0
2013,KG21,,99.7
2014,KG21,,96.5
2015,KG21,,96.7
2016,KG21,,100.0
2017,KG21,,95.7
2018,KG21,,96.5
2019,KG21,,97.757015
