Year,Деятельность,Донор,Value
2013,Сельское хозяйство,,488.2
2014,Сельское хозяйство,,521.3
2015,Сельское хозяйство,,758.0
2016,Сельское хозяйство,,1034.8
2017,Сельское хозяйство,,1569.2
2018,Сельское хозяйство,,2283.9
2013,Транспорт,,4295.0
2014,Транспорт,,9576.3
2015,Транспорт,,7552.8
2016,Транспорт,,10221.8
2017,Транспорт,,14436.4
2018,Транспорт,,5471.0
2013,Энергетика,,9828.6
2014,Энергетика,,11570.1
2015,Энергетика,,1603.2
2016,Энергетика,,10411.7
2017,Энергетика,,8104.8
2018,Энергетика,,3356.2
2013,Здравоохранение,,129.8
2014,Здравоохранение,,64.0
2015,Здравоохранение,,77.7
2016,Здравоохранение,,77.2
2017,Здравоохранение,,383.9
2018,Здравоохранение,,351.7
2013,Образование,,118.8
2014,Образование,,224.9
2015,Образование,,409.5
2016,Образование,,555.7
2017,Образование,,1129.0
2018,Образование,,1129.2
2013,Госуправление,,92.0
2014,Госуправление,,55.1
2015,Госуправление,,38.0
2016,Госуправление,,140.4
2017,Госуправление,,141.7
2018,Госуправление,,46.7
2013,Инфраструктура (водоснабжение),,887.8
2014,Инфраструктура (водоснабжение),,1398.3
2015,Инфраструктура (водоснабжение),,1393.5
2016,Инфраструктура (водоснабжение),,1602.5
2017,Инфраструктура (водоснабжение),,2023.3
2018,Инфраструктура (водоснабжение),,1960.2
2013,Другие,,1600.3
2014,Другие,,1082.5
2015,Другие,,683.1
2016,Другие,,127.1
2017,Другие,,101.0
2018,Другие,,225.7
2013,,Китайская Народная Республика,10956.3
2014,,Китайская Народная Республика,18162.9
2015,,Китайская Народная Республика,3595.7
2016,,Китайская Народная Республика,17189.8
2017,,Китайская Народная Республика,16804.7
2018,,Китайская Народная Республика,2995.2
2013,,Азиатский Банк Развития,2128.1
2014,,Азиатский Банк Развития,1630.3
2015,,Азиатский Банк Развития,2598.3
2016,,Азиатский Банк Развития,2191.5
2017,,Азиатский Банк Развития,3406.5
2018,,Азиатский Банк Развития,3512.9
2013,,Всемирный банк,2304.9
2014,,Всемирный банк,1821.8
2015,,Всемирный банк,1041.4
2016,,Всемирный банк,1704.0
2017,,Всемирный банк,2906.4
2018,,Всемирный банк,2312.8
2013,,"АКГ (ИБР, СФР, ОПЕК, ФРАД, КФАЭР)",487.3
2014,,"АКГ (ИБР, СФР, ОПЕК, ФРАД, КФАЭР)",384.5
2015,,"АКГ (ИБР, СФР, ОПЕК, ФРАД, КФАЭР)",1006.7
2016,,"АКГ (ИБР, СФР, ОПЕК, ФРАД, КФАЭР)",1254.3
2017,,"АКГ (ИБР, СФР, ОПЕК, ФРАД, КФАЭР)",1402.4
2018,,"АКГ (ИБР, СФР, ОПЕК, ФРАД, КФАЭР)",1209.5
2013,,Европейский банк реконструкции и развития,585.2
2014,,Европейский банк реконструкции и развития,311.3
2015,,Европейский банк реконструкции и развития,325.3
2016,,Европейский банк реконструкции и развития,445.8
2017,,Европейский банк реконструкции и развития,1182.3
2018,,Европейский банк реконструкции и развития,972.4
2013,,Германский Банк Развития KfW,755.4
2014,,Германский Банк Развития KfW,1469.2
2015,,Германский Банк Развития KfW,1008.7
2016,,Германский Банк Развития KfW,397.0
2017,,Германский Банк Развития KfW,757.2
2018,,Германский Банк Развития KfW,500.0
2013,,"Другие (ЕАБР, Швейцария, МФСР и т.д.)",223.3
2014,,"Другие (ЕАБР, Швейцария, МФСР и т.д.)",712.5
2015,,"Другие (ЕАБР, Швейцария, МФСР и т.д.)",2940.1
2016,,"Другие (ЕАБР, Швейцария, МФСР и т.д.)",988.9
2017,,"Другие (ЕАБР, Швейцария, МФСР и т.д.)",1430.0
2018,,"Другие (ЕАБР, Швейцария, МФСР и т.д.)",3321.8
