Year,concept.SEX,Value
2007,,3.040621
2008,,2.8227
2009,,2.53626
2010,,2.581546
2011,,2.452673
2012,,2.4
2013,,2.365496
2014,,2.325931
2015,,2.201387
2016,,2.181767
2017,,2.280168
2018,,2.791516
2019,,2.9455009999999997
2007,CL_SEX.F,3.617864
2008,CL_SEX.F,3.288586
2009,CL_SEX.F,3.057784
2010,CL_SEX.F,3.25141
2011,CL_SEX.F,3.0504029999999998
2012,CL_SEX.F,3.0
2013,CL_SEX.F,3.022166
2014,CL_SEX.F,2.924691
2015,CL_SEX.F,2.851356
2016,CL_SEX.F,2.8755830000000002
2017,CL_SEX.F,2.965272
2018,CL_SEX.F,3.6126110000000002
2019,CL_SEX.F,3.684217
2007,CL_SEX.M,2.6187869999999998
2008,CL_SEX.M,2.471303
2009,CL_SEX.M,2.153339
2010,CL_SEX.M,2.099174
2011,CL_SEX.M,2.0228509999999997
2012,CL_SEX.M,2.0
2013,CL_SEX.M,1.920636
2014,CL_SEX.M,1.902712
2015,CL_SEX.M,1.7496459999999998
2016,CL_SEX.M,1.708779
2017,CL_SEX.M,1.8401900000000002
2018,CL_SEX.M,2.276337
2019,CL_SEX.M,2.479511
