Year,REF_AREA,AGE,URBANISATION,UNIT_MEASURE,GeoCode,Value
2015,,,,PER_100000_LIVE_BIRTHS,,38.5
2016,,,,PER_100000_LIVE_BIRTHS,,30.3
2017,,,,PER_100000_LIVE_BIRTHS,,31.2
2018,,,,PER_100000_LIVE_BIRTHS,,29.8
2019,,,,PER_100000_LIVE_BIRTHS,,24.8
2020,,,,PER_100000_LIVE_BIRTHS,,42.4
2021,,,,PER_100000_LIVE_BIRTHS,,37.1
2022,,,,PER_100000_LIVE_BIRTHS,,28.1
2023,,,,PER_100000_LIVE_BIRTHS,,26.0
2024,,,,PER_100000_LIVE_BIRTHS,,25.7
2015,KG05,,,PER_100000_LIVE_BIRTHS,KG05,32.6
2016,KG05,,,PER_100000_LIVE_BIRTHS,KG05,41.9
2017,KG05,,,PER_100000_LIVE_BIRTHS,KG05,59.4
2018,KG05,,,PER_100000_LIVE_BIRTHS,KG05,26.9
2019,KG05,,,PER_100000_LIVE_BIRTHS,KG05,32.3
2020,KG05,,,PER_100000_LIVE_BIRTHS,KG05,42.4
2021,KG05,,,PER_100000_LIVE_BIRTHS,KG05,45.7
2022,KG05,,,PER_100000_LIVE_BIRTHS,KG05,34.9
2023,KG05,,,PER_100000_LIVE_BIRTHS,KG05,14.5
2024,KG05,,,PER_100000_LIVE_BIRTHS,KG05,30.4
2015,KG03,,,PER_100000_LIVE_BIRTHS,KG03,56.4
2016,KG03,,,PER_100000_LIVE_BIRTHS,KG03,33.5
2017,KG03,,,PER_100000_LIVE_BIRTHS,KG03,50.3
2018,KG03,,,PER_100000_LIVE_BIRTHS,KG03,38.2
2019,KG03,,,PER_100000_LIVE_BIRTHS,KG03,34.1
2020,KG03,,,PER_100000_LIVE_BIRTHS,KG03,53.2
2021,KG03,,,PER_100000_LIVE_BIRTHS,KG03,30.5
2022,KG03,,,PER_100000_LIVE_BIRTHS,KG03,28.7
2023,KG03,,,PER_100000_LIVE_BIRTHS,KG03,46.9
2024,KG03,,,PER_100000_LIVE_BIRTHS,KG03,30.6
2015,KG02,,,PER_100000_LIVE_BIRTHS,KG02,17.8
2016,KG02,,,PER_100000_LIVE_BIRTHS,KG02,43.4
2017,KG02,,,PER_100000_LIVE_BIRTHS,KG02,37.0
2018,KG02,,,PER_100000_LIVE_BIRTHS,KG02,62.3
2019,KG02,,,PER_100000_LIVE_BIRTHS,KG02,18.9
2020,KG02,,,PER_100000_LIVE_BIRTHS,KG02,100.6
2021,KG02,,,PER_100000_LIVE_BIRTHS,KG02,103.5
2022,KG02,,,PER_100000_LIVE_BIRTHS,KG02,38.5
2023,KG02,,,PER_100000_LIVE_BIRTHS,KG02,26.5
2024,KG02,,,PER_100000_LIVE_BIRTHS,KG02,56.5
2015,KG04,,,PER_100000_LIVE_BIRTHS,KG04,30.6
2016,KG04,,,PER_100000_LIVE_BIRTHS,KG04,29.2
2018,KG04,,,PER_100000_LIVE_BIRTHS,KG04,135.9
2019,KG04,,,PER_100000_LIVE_BIRTHS,KG04,33.1
2020,KG04,,,PER_100000_LIVE_BIRTHS,KG04,52.6
2021,KG04,,,PER_100000_LIVE_BIRTHS,KG04,167.5
2022,KG04,,,PER_100000_LIVE_BIRTHS,KG04,48.0
2015,KG06,,,PER_100000_LIVE_BIRTHS,KG06,30.6
2016,KG06,,,PER_100000_LIVE_BIRTHS,KG06,27.7
2017,KG06,,,PER_100000_LIVE_BIRTHS,KG06,25.6
2018,KG06,,,PER_100000_LIVE_BIRTHS,KG06,22.2
2019,KG06,,,PER_100000_LIVE_BIRTHS,KG06,25.5
2020,KG06,,,PER_100000_LIVE_BIRTHS,KG06,24.5
2021,KG06,,,PER_100000_LIVE_BIRTHS,KG06,33.3
2022,KG06,,,PER_100000_LIVE_BIRTHS,KG06,25.6
2023,KG06,,,PER_100000_LIVE_BIRTHS,KG06,30.2
2024,KG06,,,PER_100000_LIVE_BIRTHS,KG06,7.3
2015,KG07,,,PER_100000_LIVE_BIRTHS,KG07,15.1
2019,KG07,,,PER_100000_LIVE_BIRTHS,KG07,33.3
2020,KG07,,,PER_100000_LIVE_BIRTHS,KG07,51.9
2021,KG07,,,PER_100000_LIVE_BIRTHS,KG07,37.1
2022,KG07,,,PER_100000_LIVE_BIRTHS,KG07,104.5
2023,KG07,,,PER_100000_LIVE_BIRTHS,KG07,63.9
2024,KG07,,,PER_100000_LIVE_BIRTHS,KG07,70.1
2015,KG08,,,PER_100000_LIVE_BIRTHS,KG08,49.2
2016,KG08,,,PER_100000_LIVE_BIRTHS,KG08,43.5
2017,KG08,,,PER_100000_LIVE_BIRTHS,KG08,22.9
2018,KG08,,,PER_100000_LIVE_BIRTHS,KG08,20.1
2019,KG08,,,PER_100000_LIVE_BIRTHS,KG08,36.6
2020,KG08,,,PER_100000_LIVE_BIRTHS,KG08,46.1
2021,KG08,,,PER_100000_LIVE_BIRTHS,KG08,32.5
2022,KG08,,,PER_100000_LIVE_BIRTHS,KG08,23.5
2023,KG08,,,PER_100000_LIVE_BIRTHS,KG08,28.1
2024,KG08,,,PER_100000_LIVE_BIRTHS,KG08,50.2
2015,KG11,,,PER_100000_LIVE_BIRTHS,KG11,30.5
2016,KG11,,,PER_100000_LIVE_BIRTHS,KG11,17.6
2017,KG11,,,PER_100000_LIVE_BIRTHS,KG11,13.4
2018,KG11,,,PER_100000_LIVE_BIRTHS,KG11,14.4
2019,KG11,,,PER_100000_LIVE_BIRTHS,KG11,10.1
2020,KG11,,,PER_100000_LIVE_BIRTHS,KG11,26.8
2021,KG11,,,PER_100000_LIVE_BIRTHS,KG11,19.3
2022,KG11,,,PER_100000_LIVE_BIRTHS,KG11,34.3
2023,KG11,,,PER_100000_LIVE_BIRTHS,KG11,13.5
2024,KG11,,,PER_100000_LIVE_BIRTHS,KG11,27.0
2015,KG21,,,PER_100000_LIVE_BIRTHS,KG21,68.1
