Year,SEX,EDUCATION_LEV,Value
2010,,AGG_3_4,1432
2013,,AGG_3_4,1551
2014,,AGG_3_4,1272
2015,,AGG_3_4,1236
2016,,AGG_3_4,891
2017,,AGG_3_4,766
2018,,AGG_3_4,924
2019,,AGG_3_4,911
2010,,ISCED11_5,2544
2013,,ISCED11_5,2663
2014,,ISCED11_5,5189
2015,,ISCED11_5,4961
2016,,ISCED11_5,4754
2017,,ISCED11_5,5106
2018,,ISCED11_5,5870
2019,,ISCED11_5,6794
2010,F,ISCED11_5,1244
2013,F,ISCED11_5,1347
2014,F,ISCED11_5,1873
2015,F,ISCED11_5,1785
2016,F,ISCED11_5,3050
2017,F,ISCED11_5,1380
2018,F,ISCED11_5,1449
2019,F,ISCED11_5,1675
2010,M,ISCED11_5,1300
2013,M,ISCED11_5,1316
2014,M,ISCED11_5,3316
2015,M,ISCED11_5,3176
2016,M,ISCED11_5,1704
2017,M,ISCED11_5,3722
2018,M,ISCED11_5,4421
2019,M,ISCED11_5,5119
2010,,ISCED11_6_7,12291
2013,,ISCED11_6_7,8890
2014,,ISCED11_6_7,9214
2015,,ISCED11_6_7,8551
2016,,ISCED11_6_7,7089
2017,,ISCED11_6_7,8522
2018,,ISCED11_6_7,9516
2019,,ISCED11_6_7,9511
2010,F,ISCED11_6_7,5530
2013,F,ISCED11_6_7,4469
2014,F,ISCED11_6_7,4096
2015,F,ISCED11_6_7,3916
2016,F,ISCED11_6_7,3020
2017,F,ISCED11_6_7,4023
2018,F,ISCED11_6_7,4361
2019,F,ISCED11_6_7,3982
2010,M,ISCED11_6_7,6761
2013,M,ISCED11_6_7,4421
2014,M,ISCED11_6_7,5118
2015,M,ISCED11_6_7,4635
2016,M,ISCED11_6_7,4069
2017,M,ISCED11_6_7,4491
2018,M,ISCED11_6_7,5155
2019,M,ISCED11_6_7,5529
