Year,REF_AREA,SEX,URBANISATION,INCOME_WEALTH_QUANTILE,EDUCATION_LEV,COMMENT_OBS,GeoCode,Value
2018,,,,,,,,19.2
2019,,,,,,,,22.213001
2020,,,,,,,,22.1
2021,,,,,,,,20.609252
2022,,,,,,,,21.549331
2023,,,,,,,,19.934537
2018,,,U,,,,,47.5
2019,,,U,,,,,54.058947
2020,,,U,,,,,52.7
2021,,,U,,,,,49.918997
2022,,,U,,,,,52.326989
2023,,,U,,,,,50.663874
2018,,,R,,,,,3.2
2019,,,R,,,,,4.516183
2020,,,R,,,,,5.0
2021,,,R,,,,,3.234875
2022,,,R,,,,,3.691633
2023,,,R,,,,,2.370043
2019,,M,,,,,,20.4
2020,,M,,,,,,20.5
2021,,M,,,,,,19.0
2022,,M,,,,,,20.145702
2023,,M,,,,,,18.286297
2019,,F,,,,,,23.8
2020,,F,,,,,,23.6
2021,,F,,,,,,22.0
2022,,F,,,,,,22.81377
2023,,F,,,,,,21.435728
2018,KG05,,,,,,KG05,2.8
2019,KG05,,,,,,KG05,5.864812
2020,KG05,,,,,,KG05,4.8
2021,KG05,,,,,,KG05,5.15599
2022,KG05,,,,,,KG05,6.330024
2023,KG05,,,,,,KG05,5.320808
2018,KG03,,,,,,KG03,15.9
2019,KG03,,,,,,KG03,13.680777
2020,KG03,,,,,,KG03,15.8
2021,KG03,,,,,,KG03,13.633825
2022,KG03,,,,,,KG03,14.956994
2023,KG03,,,,,,KG03,16.243665
2018,KG02,,,,,,KG02,13.6
2019,KG02,,,,,,KG02,12.890062
2020,KG02,,,,,,KG02,13.5
2021,KG02,,,,,,KG02,11.55279
2022,KG02,,,,,,KG02,10.216784
2023,KG02,,,,,,KG02,7.657923
2018,KG04,,,,,,KG04,7.1
2019,KG04,,,,,,KG04,10.162158
2020,KG04,,,,,,KG04,9.6
2021,KG04,,,,,,KG04,8.857787
2022,KG04,,,,,,KG04,12.292587
2023,KG04,,,,,,KG04,10.866087
2018,KG06,,,,,,KG06,1.3
2019,KG06,,,,,,KG06,2.770504
2020,KG06,,,,,,KG06,2.7
2021,KG06,,,,,,KG06,2.011959
2022,KG06,,,,,,KG06,1.190447
2023,KG06,,,,,,KG06,0.795697
2018,KG07,,,,,,KG07,8.8
2019,KG07,,,,,,KG07,17.739576
2020,KG07,,,,,,KG07,14.7
2021,KG07,,,,,,KG07,15.717645
2022,KG07,,,,,,KG07,13.453576
2023,KG07,,,,,,KG07,8.299786
2018,KG08,,,,,,KG08,11.1
2019,KG08,,,,,,KG08,18.259395
2020,KG08,,,,,,KG08,18.2
2021,KG08,,,,,,KG08,17.552937
2022,KG08,,,,,,KG08,16.392955
2023,KG08,,,,,,KG08,15.806671
2018,KG11,,,,,,KG11,59.9
2019,KG11,,,,,,KG11,74.995693
2020,KG11,,,,,,KG11,74.0
2021,KG11,,,,,,KG11,68.912342
2022,KG11,,,,,,KG11,73.546822
2023,KG11,,,,,,KG11,68.945555
2018,KG21,,,,,,KG21,32.1
2019,KG21,,,,,,KG21,38.304982
2020,KG21,,,,,,KG21,35.1
2021,KG21,,,,,,KG21,31.366
2022,KG21,,,,,,KG21,33.802493
2023,KG21,,,,,,KG21,30.425502
2018,,,,,ISCED11_1,Образование главы домохозяйства,,6.8
2019,,,,,ISCED11_1,Образование главы домохозяйства,,20.788716
2020,,,,,ISCED11_1,Образование главы домохозяйства,,19.887519
2021,,,,,ISCED11_1,Образование главы домохозяйства,,19.269932
2022,,,,,ISCED11_1,Образование главы домохозяйства,,18.990956
2023,,,,,ISCED11_1,Образование главы домохозяйства,,14.976208
2018,,,,,ISCED11_2,Образование главы домохозяйства,,10.5
2019,,,,,ISCED11_2,Образование главы домохозяйства,,14.480702
2020,,,,,ISCED11_2,Образование главы домохозяйства,,15.941415
2021,,,,,ISCED11_2,Образование главы домохозяйства,,14.268643
2022,,,,,ISCED11_2,Образование главы домохозяйства,,16.56969
2023,,,,,ISCED11_2,Образование главы домохозяйства,,17.392665
2018,,,,,ISCED11_3,Образование главы домохозяйства,,11.4
2019,,,,,ISCED11_3,Образование главы домохозяйства,,16.393354
2020,,,,,ISCED11_3,Образование главы домохозяйства,,17.072533
