Year,REF_AREA,SEX,AGE,URBANISATION,INCOME_WEALTH_QUANTILE,EDUCATION_LEV,GeoCode,Value
2018,,,,,,,,8.3
2019,,,,,,,,8.1
2020,,,,,,,,7.6
2021,,,,,,,,6.3
2022,,,,,,,,5.650482
2018,,M,,,,,,17.7
2019,,M,,,,,,17.2
2020,,M,,,,,,16.0
2021,,M,,,,,,13.4
2022,,M,,,,,,11.990553
2018,,F,,,,,,0.5
2019,,F,,,,,,0.4
2020,,F,,,,,,0.5
2021,,F,,,,,,0.4
2022,,F,,,,,,0.366864
2018,,,,U,,,,6.4
2019,,,,U,,,,6.2
2020,,,,U,,,,6.2
2021,,,,U,,,,5.3
2022,,,,U,,,,4.758508
2018,,,,R,,,,9.5
2019,,,,R,,,,9.2
2020,,,,R,,,,8.5
2021,,,,R,,,,6.9
2022,,,,R,,,,6.214721
2018,KG05,,,,,,KG05,10.8
2019,KG05,,,,,,KG05,10.9
2020,KG05,,,,,,KG05,9.8
2021,KG05,,,,,,KG05,9.1
2022,KG05,,,,,,KG05,6.629973
2018,KG03,,,,,,KG03,3.4
2019,KG03,,,,,,KG03,4.4
2020,KG03,,,,,,KG03,2.8
2021,KG03,,,,,,KG03,1.9
2022,KG03,,,,,,KG03,1.004535
2018,KG02,,,,,,KG02,17.9
2019,KG02,,,,,,KG02,17.0
2020,KG02,,,,,,KG02,15.7
2021,KG02,,,,,,KG02,15.2
2022,KG02,,,,,,KG02,15.321097
2018,KG04,,,,,,KG04,14.7
2019,KG04,,,,,,KG04,13.8
2020,KG04,,,,,,KG04,14.2
2021,KG04,,,,,,KG04,12.7
2022,KG04,,,,,,KG04,11.932655
2018,KG06,,,,,,KG06,6.7
2019,KG06,,,,,,KG06,6.0
2020,KG06,,,,,,KG06,6.2
2021,KG06,,,,,,KG06,4.3
2022,KG06,,,,,,KG06,4.402496
2018,KG07,,,,,,KG07,13.0
2019,KG07,,,,,,KG07,13.7
2020,KG07,,,,,,KG07,13.5
2021,KG07,,,,,,KG07,13.0
2022,KG07,,,,,,KG07,13.275842
2018,KG08,,,,,,KG08,12.2
2019,KG08,,,,,,KG08,10.5
2020,KG08,,,,,,KG08,9.4
2021,KG08,,,,,,KG08,7.8
2022,KG08,,,,,,KG08,5.595323
2018,KG11,,,,,,KG11,6.2
2019,KG11,,,,,,KG11,6.3
2020,KG11,,,,,,KG11,7.3
2021,KG11,,,,,,KG11,5.5
2022,KG11,,,,,,KG11,5.756194
2018,KG21,,,,,,KG21,1.8
2019,KG21,,,,,,KG21,1.6
2020,KG21,,,,,,KG21,1.3
2021,KG21,,,,,,KG21,1.2
2022,KG21,,,,,,KG21,0.912601
2018,,,Y15T24,,,,,0.4
2019,,,Y15T24,,,,,0.3
2020,,,Y15T24,,,,,0.4
2021,,,Y15T24,,,,,0.1
2022,,,Y15T24,,,,,0.125589
2018,,,Y25T54,,,,,10.6
2019,,,Y25T54,,,,,10.0
2020,,,Y25T54,,,,,9.4
2021,,,Y25T54,,,,,7.4
2022,,,Y25T54,,,,,6.813728
2018,,,Y_GE55,,,,,10.0
2019,,,Y_GE55,,,,,10.2
2020,,,Y_GE55,,,,,9.4
2021,,,Y_GE55,,,,,9.0
2022,,,Y_GE55,,,,,7.483512
2018,,,,,,ISCED11_1,,2.8
2019,,,,,,ISCED11_1,,3.4
2020,,,,,,ISCED11_1,,2.8
2021,,,,,,ISCED11_1,,1.5
2022,,,,,,ISCED11_1,,1.069826
2018,,,,,,ISCED11_2,,3.5
2019,,,,,,ISCED11_2,,2.9
2020,,,,,,ISCED11_2,,3.8
2021,,,,,,ISCED11_2,,2.9
2022,,,,,,ISCED11_2,,2.525977
2018,,,,,,ISCED11_3,,9.8
2019,,,,,,ISCED11_3,,9.3
2020,,,,,,ISCED11_3,,8.8
2021,,,,,,ISCED11_3,,7.4
2022,,,,,,ISCED11_3,,6.901426
2018,,,,,,ISCED11_4,,11.7
2019,,,,,,ISCED11_4,,11.8
2020,,,,,,ISCED11_4,,10.8
2021,,,,,,ISCED11_4,,9.1
2022,,,,,,ISCED11_4,,7.909136
2018,,,,,,ISCED11_5,,5.6
2019,,,,,,ISCED11_5,,5.5
2020,,,,,,ISCED11_5,,4.9
2021,,,,,,ISCED11_5,,4.1
2022,,,,,,ISCED11_5,,3.380007
2018,,,,,Q1,,,8.0
2019,,,,,Q1,,,8.2
2020,,,,,Q1,,,7.9
2021,,,,,Q1,,,6.4
2022,,,,,Q1,,,4.735741
2018,,,,,Q2,,,7.4
2019,,,,,Q2,,,7.8
2020,,,,,Q2,,,6.9
2021,,,,,Q2,,,6.2
2022,,,,,Q2,,,4.766466
2018,,,,,Q3,,,8.5
2019,,,,,Q3,,,7.7
2020,,,,,Q3,,,8.0
2021,,,,,Q3,,,5.4
2022,,,,,Q3,,,5.420931
2018,,,,,Q4,,,8.5
2019,,,,,Q4,,,8.0
2020,,,,,Q4,,,7.2
2021,,,,,Q4,,,6.6
2022,,,,,Q4,,,6.491722
2018,,,,,Q5,,,9.6
2019,,,,,Q5,,,8.8
2020,,,,,Q5,,,8.1
2021,,,,,Q5,,,7.2
2022,,,,,Q5,,,6.423111
