Year,SERIES,REF_AREA,AGE,URBANISATION,INCOME_WEALTH_QUANTILE,EDUCATION_LEV,DISABILITY_STATUS,GeoCode,Value
2018,SP_DYN_MRBF15,,Y0T15,,,,,,3.0
2023,SP_DYN_MRBF15,,Y0T15,,,,,,3.0
2018,SP_DYN_MRBF15,,Y0T15,U,,,,,6.0
2023,SP_DYN_MRBF15,,Y0T15,U,,,,,3.0
2018,SP_DYN_MRBF15,,Y0T15,R,,,,,1.0
2023,SP_DYN_MRBF15,,Y0T15,R,,,,,3.0
2018,SP_DYN_MRBF15,KG05,Y0T15,,,,,KG05,0.0
2023,SP_DYN_MRBF15,KG05,Y0T15,,,,,KG05,0.0
2018,SP_DYN_MRBF15,KG03,Y0T15,,,,,KG03,0.0
2023,SP_DYN_MRBF15,KG03,Y0T15,,,,,KG03,0.0
2018,SP_DYN_MRBF15,KG02,Y0T15,,,,,KG02,0.0
2018,SP_DYN_MRBF15,KG04,Y0T15,,,,,KG04,0.0
2018,SP_DYN_MRBF15,KG06,Y0T15,,,,,KG06,0.0
2023,SP_DYN_MRBF15,KG06,Y0T15,,,,,KG06,9.0
2018,SP_DYN_MRBF15,KG07,Y0T15,,,,,KG07,28.0
2023,SP_DYN_MRBF15,KG07,Y0T15,,,,,KG07,0.0
2018,SP_DYN_MRBF15,KG08,Y0T15,,,,,KG08,0.0
2023,SP_DYN_MRBF15,KG08,Y0T15,,,,,KG08,0.0
2018,SP_DYN_MRBF15,KG11,Y0T15,,,,,KG11,10.0
2023,SP_DYN_MRBF15,KG11,Y0T15,,,,,KG11,0.0
2018,SP_DYN_MRBF15,KG21,Y0T15,,,,,KG21,0.0
2023,SP_DYN_MRBF15,KG21,Y0T15,,,,,KG21,16.0
2018,SP_DYN_MRBF15,,Y0T15,,,ISCED11_2,,,6.0
2023,SP_DYN_MRBF15,,Y0T15,,,ISCED11_2,,,0.0
2018,SP_DYN_MRBF15,,Y0T15,,,ISCED11_3,,,8.0
2023,SP_DYN_MRBF15,,Y0T15,,,ISCED11_3,,,7.0
2018,SP_DYN_MRBF15,,Y0T15,,,ISCED11_4,,,0.0
2023,SP_DYN_MRBF15,,Y0T15,,,ISCED11_4,,,0.0
2018,SP_DYN_MRBF15,,Y0T15,,,ISCED11_5,,,0.0
2023,SP_DYN_MRBF15,,Y0T15,,,ISCED11_5,,,3.0
2018,SP_DYN_MRBF15,,Y0T15,,,,PWD,,3.0
2023,SP_DYN_MRBF15,,Y0T15,,,,PWD,,3.0
2018,SP_DYN_MRBF15,,Y0T15,,Q1,,,,0.0
2023,SP_DYN_MRBF15,,Y0T15,,Q1,,,,0.0
2018,SP_DYN_MRBF15,,Y0T15,,Q2,,,,4.0
2023,SP_DYN_MRBF15,,Y0T15,,Q2,,,,11.0
2018,SP_DYN_MRBF15,,Y0T15,,Q3,,,,0.0
2023,SP_DYN_MRBF15,,Y0T15,,Q3,,,,0.0
2018,SP_DYN_MRBF15,,Y0T15,,Q4,,,,0.0
2023,SP_DYN_MRBF15,,Y0T15,,Q4,,,,0.0
2018,SP_DYN_MRBF15,,Y0T15,,Q5,,,,11.0
2023,SP_DYN_MRBF15,,Y0T15,,Q5,,,,5.0
2018,SP_DYN_MRBF18,,Y0T18,,,,,,129.0
2023,SP_DYN_MRBF18,,Y0T18,,,,,,92.0
2018,SP_DYN_MRBF18,,Y0T18,U,,,,,84.0
2023,SP_DYN_MRBF18,,Y0T18,U,,,,,56.0
2018,SP_DYN_MRBF18,,Y0T18,R,,,,,157.0
2023,SP_DYN_MRBF18,,Y0T18,R,,,,,114.0
2018,SP_DYN_MRBF18,KG05,Y0T18,,,,,KG05,144.0
2023,SP_DYN_MRBF18,KG05,Y0T18,,,,,KG05,93.0
2018,SP_DYN_MRBF18,KG03,Y0T18,,,,,KG03,136.0
2023,SP_DYN_MRBF18,KG03,Y0T18,,,,,KG03,195.0
2018,SP_DYN_MRBF18,KG02,Y0T18,,,,,KG02,115.0
2018,SP_DYN_MRBF18,KG04,Y0T18,,,,,KG04,184.0
2018,SP_DYN_MRBF18,KG06,Y0T18,,,,,KG06,183.0
2023,SP_DYN_MRBF18,KG06,Y0T18,,,,,KG06,75.0
2018,SP_DYN_MRBF18,KG07,Y0T18,,,,,KG07,165.0
2023,SP_DYN_MRBF18,KG07,Y0T18,,,,,KG07,15.5
2018,SP_DYN_MRBF18,KG08,Y0T18,,,,,KG08,116.0
2023,SP_DYN_MRBF18,KG08,Y0T18,,,,,KG08,84.0
2018,SP_DYN_MRBF18,KG11,Y0T18,,,,,KG11,53.0
2023,SP_DYN_MRBF18,KG11,Y0T18,,,,,KG11,25.0
2018,SP_DYN_MRBF18,KG21,Y0T18,,,,,KG21,132.0
2023,SP_DYN_MRBF18,KG21,Y0T18,,,,,KG21,24.0
