Year,REF_AREA,SEX,AGE,URBANISATION,INCOME_WEALTH_QUANTILE,EDUCATION_LEV,DISABILITY_STATUS,COMMENT_OBS,GeoCode,Value
2014,,,Y0T4,,,,,,,97.7
2018,,,Y0T4,,,,,,,98.9
2023,,,Y0T4,,,,,,,99.5
2014,,M,Y0T4,,,,,,,97.6
2018,,M,Y0T4,,,,,,,99.5
2023,,M,Y0T4,,,,,,,99.2
2014,,F,Y0T4,,,,,,,97.9
2018,,F,Y0T4,,,,,,,98.4
2023,,F,Y0T4,,,,,,,99.9
2014,,,Y0T4,U,,,,,,98.5
2018,,,Y0T4,U,,,,,,99.1
2023,,,Y0T4,U,,,,,,99.3
2014,,,Y0T4,R,,,,,,97.4
2018,,,Y0T4,R,,,,,,98.9
2023,,,Y0T4,R,,,,,,99.6
2014,KG05,,Y0T4,,,,,,KG05,99.4
2018,KG05,,Y0T4,,,,,,KG05,99.7
2023,KG05,,Y0T4,,,,,,KG05,99.8
2014,KG03,,Y0T4,,,,,,KG03,98.7
2018,KG03,,Y0T4,,,,,,KG03,99.4
2023,KG03,,Y0T4,,,,,,KG03,99.3
2014,KG02,,Y0T4,,,,,,KG02,97.1
2018,KG02,,Y0T4,,,,,,KG02,99.8
2023,KG02,,Y0T4,,,,,,KG02,99.5
2014,KG04,,Y0T4,,,,,,KG04,99.6
2018,KG04,,Y0T4,,,,,,KG04,99.3
2023,KG04,,Y0T4,,,,,,KG04,100.0
2014,KG06,,Y0T4,,,,,,KG06,95.9
2018,KG06,,Y0T4,,,,,,KG06,99.3
2023,KG06,,Y0T4,,,,,,KG06,99.5
2014,KG07,,Y0T4,,,,,,KG07,97.0
2018,KG07,,Y0T4,,,,,,KG07,99.5
2023,KG07,,Y0T4,,,,,,KG07,100.0
2014,KG08,,Y0T4,,,,,,KG08,97.4
2018,KG08,,Y0T4,,,,,,KG08,96.8
2023,KG08,,Y0T4,,,,,,KG08,99.4
2014,KG11,,Y0T4,,,,,,KG11,98.4
2018,KG11,,Y0T4,,,,,,KG11,99.2
2023,KG11,,Y0T4,,,,,,KG11,99.3
2014,KG21,,Y0T4,,,,,,KG21,98.8
2018,KG21,,Y0T4,,,,,,KG21,97.5
2023,KG21,,Y0T4,,,,,,KG21,100.0
2014,,,M0T11,,,,,,,95.4
2018,,,M0T11,,,,,,,96.9
2023,,,M0T11,,,,,,,98.4
2014,,,M12T23,,,,,,,96.0
2018,,,M12T23,,,,,,,98.8
2023,,,M12T23,,,,,,,99.7
2014,,,M24T35,,,,,,,98.8
2018,,,M24T35,,,,,,,99.2
2023,,,M24T35,,,,,,,99.7
2014,,,M36T47,,,,,,,97.6
2018,,,M36T47,,,,,,,99.9
2023,,,M36T47,,,,,,,99.7
2014,,,M48T59,,,,,,,98.7
2018,,,M48T59,,,,,,,99.8
2023,,,M48T59,,,,,,,100.0
2014,,,Y0T4,,,ISCED11_2,,Образование матери,,96.4
2018,,,Y0T4,,,ISCED11_2,,Образование матери,,98.1
2023,,,Y0T4,,,ISCED11_2,,Образование матери,,98.7
2014,,,Y0T4,,,ISCED11_3,,Образование матери,,97.8
2018,,,Y0T4,,,ISCED11_3,,Образование матери,,98.8
2023,,,Y0T4,,,ISCED11_3,,Образование матери,,99.6
2014,,,Y0T4,,,ISCED11_4,,Образование матери,,99.1
2018,,,Y0T4,,,ISCED11_4,,Образование матери,,98.8
2023,,,Y0T4,,,ISCED11_4,,Образование матери,,99.6
2014,,,Y0T4,,,ISCED11_6_7,,Образование матери,,98.7
2018,,,Y0T4,,,ISCED11_6_7,,Образование матери,,99.5
2023,,,Y0T4,,,ISCED11_6_7,,Образование матери,,99.7
2023,,,Y0T4,,,,_L_CHD,,,100.0
2018,,,Y0T4,,,,_L_CHWD,,,99.6
2023,,,Y0T4,,,,_L_CHWD,,,99.8
2018,,,Y18T49,,,,_L_MD,,,97.7
2018,,,Y18T49,,,,_L_MWD,,,98.9
2023,,,Y18T49,,,,_L_MWD,,,99.5
2018,,,Y18T49,,,,_U,,,100.0
2014,,,Y0T4,,Q1,,,,,95.8
2018,,,Y0T4,,Q1,,,,,99.0
2023,,,Y0T4,,Q1,,,,,99.3
2014,,,Y0T4,,Q2,,,,,97.8
2018,,,Y0T4,,Q2,,,,,98.4
2023,,,Y0T4,,Q2,,,,,99.2
2014,,,Y0T4,,Q3,,,,,98.3
2018,,,Y0T4,,Q3,,,,,98.8
2023,,,Y0T4,,Q3,,,,,99.7
2014,,,Y0T4,,Q4,,,,,98.0
2018,,,Y0T4,,Q4,,,,,99.1
2023,,,Y0T4,,Q4,,,,,100.0
2014,,,Y0T4,,Q5,,,,,99.1
2018,,,Y0T4,,Q5,,,,,99.6
2023,,,Y0T4,,Q5,,,,,99.6
