Year,REF_AREA,SEX,AGE,URBANISATION,INCOME_WEALTH_QUANTILE,EDUCATION_LEV,COMPOSITE_BREAKDOWN,DISABILITY_STATUS,Value
2018,,,,,,,,,26.7
2018,,M,,,,,,,33.6
2018,,F,,,,,,,19.0
2018,,,,U,,,,,11.9
2018,,,,R,,,,,33.6
2018,KG05,,,,,,,,27.7
2018,KG03,,,,,,,,34.0
2018,KG02,,,,,,,,27.0
2018,KG04,,,,,,,,40.5
2018,KG06,,,,,,,,33.3
2018,KG07,,,,,,,,35.1
2018,KG08,,,,,,,,24.5
2018,KG11,,,,,,,,7.3
2018,KG21,,,,,,,,6.1
2018,,,Y5T11,,,,,,27.9
2018,,,Y12T14,,,,,,23.3
2018,,,Y15T17,,,,,,26.6
2018,,,,,,,_L_SCH_ATT,,27.0
2018,,,,,,,_L_SCH_NOT_ATT,,21.6
2018,,,,,,ISCED11_1,,,33.0
2018,,,,,,ISCED11_2,,,28.7
2018,,,,,,ISCED11_3,,,29.2
2018,,,,,,ISCED11_4,,,24.4
2018,,,,,,ISCED11_6_7,,,23.1
2018,,,,,,,,_L_CHD,34.9
2018,,,,,,,,_L_CHWD,25.9
2018,,,,,Q1,,,,32.1
2018,,,,,Q2,,,,30.6
2018,,,,,Q3,,,,31.8
2018,,,,,Q4,,,,28.0
2018,,,,,Q5,,,,6.1
