Year,UNIT_MULT,SERIES,UNIT_MEASURE,Value
2010,0,_L_KG_171301_1A,PT,99.5
2011,0,_L_KG_171301_1A,PT,106.0
2012,0,_L_KG_171301_1A,PT,99.9
2013,0,_L_KG_171301_1A,PT,110.9
2014,0,_L_KG_171301_1A,PT,104.0
2015,0,_L_KG_171301_1A,PT,103.9
2016,0,_L_KG_171301_1A,PT,104.3
2017,0,_L_KG_171301_1A,PT,104.7
2018,0,_L_KG_171301_1A,PT,103.8
2019,0,_L_KG_171301_1A,PT,104.6
2020,0,_L_KG_171301_1A,PT,91.6
2010,0,_L_KG_171301_1B,IX,108.0
2011,0,_L_KG_171301_1B,IX,116.6
2012,0,_L_KG_171301_1B,IX,102.8
2013,0,_L_KG_171301_1B,IX,106.6
2014,0,_L_KG_171301_1B,IX,107.5
2015,0,_L_KG_171301_1B,IX,106.5
2016,0,_L_KG_171301_1B,IX,100.4
2017,0,_L_KG_171301_1B,IX,103.2
2018,0,_L_KG_171301_1B,IX,101.5
2019,0,_L_KG_171301_1B,IX,101.1
2020,0,_L_KG_171301_1B,IX,106.3
2010,0,_L_KG_171301_1C,IX,122.79
2011,0,_L_KG_171301_1C,IX,122.02
2012,0,_L_KG_171301_1C,IX,105.3
2013,0,_L_KG_171301_1C,IX,97.92
2014,0,_L_KG_171301_1C,IX,101.45
2015,0,_L_KG_171301_1C,IX,108.75
2016,0,_L_KG_171301_1C,IX,106.41
2017,0,_L_KG_171301_1C,IX,101.66
2018,0,_L_KG_171301_1C,IX,101.49
2019,0,_L_KG_171301_1C,IX,104.26
2020,0,_L_KG_171301_1C,IX,121.27
2010,6,_L_KG_171301_1D,CUR_LCU,-10767.9787
2011,6,_L_KG_171301_1D,CUR_LCU,-13663.7111
2012,6,_L_KG_171301_1D,CUR_LCU,-20232.3134
2013,6,_L_KG_171301_1D,CUR_LCU,-2330.4823
2014,6,_L_KG_171301_1D,CUR_LCU,-1875.5431
2015,6,_L_KG_171301_1D,CUR_LCU,-6149.3213
2016,6,_L_KG_171301_1D,CUR_LCU,-20888.9124
2017,6,_L_KG_171301_1D,CUR_LCU,-16476.1602
2018,6,_L_KG_171301_1D,CUR_LCU,-6188.9008
2019,6,_L_KG_171301_1D,CUR_LCU,-431.7092
2020,6,_L_KG_171301_1D,CUR_LCU,-19734.0366
2010,6,_L_KG_171301_1E,CUR_LCU,131557.5
2011,6,_L_KG_171301_1E,CUR_LCU,143154.1
2012,6,_L_KG_171301_1E,CUR_LCU,156719.4
2013,6,_L_KG_171301_1E,CUR_LCU,167431.8
2014,6,_L_KG_171301_1E,CUR_LCU,214759.1
2015,6,_L_KG_171301_1E,CUR_LCU,289195.5
2016,6,_L_KG_171301_1E,CUR_LCU,281450.9
2017,6,_L_KG_171301_1E,CUR_LCU,311846.2
2018,6,_L_KG_171301_1E,CUR_LCU,311834.6
2019,6,_L_KG_171301_1E,CUR_LCU,319474.6
2020,6,_L_KG_171301_1E,CUR_LCU,407116.85
2010,0,_L_KG_171301_1F,PT,105.6
2011,0,_L_KG_171301_1F,PT,130.62446
2012,0,_L_KG_171301_1F,PT,115.384261
2013,0,_L_KG_171301_1F,PT,106.528605
2014,0,_L_KG_171301_1F,PT,95.30386
2015,0,_L_KG_171301_1F,PT,73.989322
2016,0,_L_KG_171301_1F,PT,98.878752
2017,0,_L_KG_171301_1F,PT,112.297259
2018,0,_L_KG_171301_1F,PT,113.896789
2019,0,_L_KG_171301_1F,PT,97.8
2020,0,_L_KG_171301_1F,PT,81.6
2010,6,_L_KG_171301_1G,USD,1755.9245
2011,6,_L_KG_171301_1G,USD,2242.1664
2012,6,_L_KG_171301_1G,USD,1927.6232
2013,6,_L_KG_171301_1G,USD,2006.8497
2014,6,_L_KG_171301_1G,USD,1883.733456
2015,6,_L_KG_171301_1G,USD,1482.942034
2016,6,_L_KG_171301_1G,USD,1573.21493
2017,6,_L_KG_171301_1G,USD,1764.254644
2018,6,_L_KG_171301_1G,USD,1836.838696
2019,6,_L_KG_171301_1G,USD,1986.11
2020,6,_L_KG_171301_1G,USD,1973.2
2010,6,_L_KG_171301_1H,USD,3222.772182
2011,6,_L_KG_171301_1H,USD,4261.226418
2012,6,_L_KG_171301_1H,USD,5576.264131
2013,6,_L_KG_171301_1H,USD,5986.983003
2014,6,_L_KG_171301_1H,USD,5734.703808
2015,6,_L_KG_171301_1H,USD,4153.86051
2016,6,_L_KG_171301_1H,USD,4000.442107
2017,6,_L_KG_171301_1H,USD,4494.728178
2018,6,_L_KG_171301_1H,USD,5291.945776
2019,6,_L_KG_171301_1H,USD,4989.01
2020,6,_L_KG_171301_1H,USD,3718.8
