Year,Reference area,Value
2010,,89.9
2011,,94.5
2012,,94.4
2013,,91.0
2014,,94.4
2015,,94.5
2016,,93.5
2017,,93.9
2018,,95.1
2019,,95.0
2020,,95.9
2021,,970.0
2013,Batken,39.3
2014,Batken,91.1
2015,Batken,91.1
2016,Batken,96.2
2017,Batken,96.2
2018,Batken,96.2
2019,Batken,96.2
2020,Batken,96.2
2021,Batken,962.0
2010,Jalal-Abad,61.2
2011,Jalal-Abad,63.6
2012,Jalal-Abad,60.7
2013,Jalal-Abad,62.7
2014,Jalal-Abad,53.7
2015,Jalal-Abad,35.5
2016,Jalal-Abad,38.0
2017,Jalal-Abad,62.3
2018,Jalal-Abad,62.3
2019,Jalal-Abad,62.3
2020,Jalal-Abad,62.3
2021,Jalal-Abad,627.0
2010,Issyk-Kul,100.0
2011,Issyk-Kul,98.1
2012,Issyk-Kul,98.1
2013,Issyk-Kul,100.0
2014,Issyk-Kul,100.0
2015,Issyk-Kul,101.1
2016,Issyk-Kul,97.5
2017,Issyk-Kul,97.3
2018,Issyk-Kul,99.9
2019,Issyk-Kul,99.96
2020,Issyk-Kul,100.0
2021,Issyk-Kul,1000.0
2011,Naryn,100.0
2012,Naryn,100.0
2013,Naryn,100.0
2014,Naryn,100.0
2015,Naryn,100.0
2016,Naryn,100.0
2017,Naryn,100.0
2018,Naryn,100.0
2019,Naryn,100.0
2020,Naryn,100.0
2021,Naryn,1000.0
2010,Talas,0.0
2011,Talas,0.0
2012,Talas,0.0
2013,Talas,0.0
2014,Talas,21.3
2015,Talas,22.2
2016,Talas,98.5
2017,Talas,95.6
2018,Talas,98.2
2019,Talas,98.2
2020,Talas,100.0
2021,Talas,1000.0
2010,Chui,44.2
2011,Chui,0.0
2012,Chui,0.0
2013,Chui,29.8
2014,Chui,74.8
2015,Chui,97.1
2016,Chui,95.4
2017,Chui,59.4
2018,Chui,65.4
2019,Chui,63.0
2020,Chui,62.7
2021,Chui,579.0
2010,Bishkek (city),99.1
2011,Bishkek (city),100.0
2012,Bishkek (city),100.0
2013,Bishkek (city),100.0
2014,Bishkek (city),100.0
2015,Bishkek (city),100.0
2016,Bishkek (city),100.0
2017,Bishkek (city),100.0
2018,Bishkek (city),100.0
2019,Bishkek (city),100.0
2020,Bishkek (city),100.0
2021,Bishkek (city),1000.0
2010,Osh (city),100.0
