Year,concept.REF_AREA,concept.URBANISATION,Value
2013,,,17.5
2014,,,19.5
2015,,,19.9
2016,,,22.1
2017,,,23.5
2018,,,24.6
2019,,,25.4
2013,,CL_URBANISATION.U,31.6
2014,,CL_URBANISATION.U,32.3
2015,,CL_URBANISATION.U,31.1
2016,,CL_URBANISATION.U,32.3
2017,,CL_URBANISATION.U,34.2
2018,,CL_URBANISATION.U,34.6
2019,,CL_URBANISATION.U,34.5
2013,,CL_URBANISATION.R,10.8
2014,,CL_URBANISATION.R,13.2
2015,,CL_URBANISATION.R,14.2
2016,,CL_URBANISATION.R,16.6
2017,,CL_URBANISATION.R,17.9
2018,,CL_URBANISATION.R,19.3
2019,,CL_URBANISATION.R,20.6
2013,CL_AREA.KG05,,16.1
2014,CL_AREA.KG05,,19.6
2015,CL_AREA.KG05,,20.6
2016,CL_AREA.KG05,,23.9
2017,CL_AREA.KG05,,25.8
2018,CL_AREA.KG05,,26.3
2019,CL_AREA.KG05,,28.5
2013,CL_AREA.KG05,CL_URBANISATION.U,33.3
2014,CL_AREA.KG05,CL_URBANISATION.U,33.1
2015,CL_AREA.KG05,CL_URBANISATION.U,30.5
2016,CL_AREA.KG05,CL_URBANISATION.U,32.8
2017,CL_AREA.KG05,CL_URBANISATION.U,33.2
2018,CL_AREA.KG05,CL_URBANISATION.U,34.0
2019,CL_AREA.KG05,CL_URBANISATION.U,42.7
2013,CL_AREA.KG05,CL_URBANISATION.R,10.2
2014,CL_AREA.KG05,CL_URBANISATION.R,14.6
2015,CL_AREA.KG05,CL_URBANISATION.R,16.7
2016,CL_AREA.KG05,CL_URBANISATION.R,20.5
2017,CL_AREA.KG05,CL_URBANISATION.R,23.0
2018,CL_AREA.KG05,CL_URBANISATION.R,23.3
2019,CL_AREA.KG05,CL_URBANISATION.R,23.8
2013,CL_AREA.KG03,,15.2
2014,CL_AREA.KG03,,15.5
2015,CL_AREA.KG03,,16.1
2016,CL_AREA.KG03,,18.7
