Year,COMPOSITE_BREAKDOWN,Value
2010,,153.6
2011,,212.4
2012,,217.7
2013,,225.5
2014,,302.6
2015,,304.9
2016,,264.3
2017,,248.2
2018,,283.6
2019,,251.6
2010,_L_POL_SOLID,74.5
2011,_L_POL_SOLID,90.6
2012,_L_POL_SOLID,90.9
2013,_L_POL_SOLID,80.0
2014,_L_POL_SOLID,112.7
2015,_L_POL_SOLID,121.8
2016,_L_POL_SOLID,101.3
2017,_L_POL_SOLID,126.1
2018,_L_POL_SOLID,91.0
2019,_L_POL_SOLID,76.5
2010,_L_POL_GASLIQ,79.0
2011,_L_POL_GASLIQ,121.8
2012,_L_POL_GASLIQ,126.8
2013,_L_POL_GASLIQ,145.6
2014,_L_POL_GASLIQ,189.9
2015,_L_POL_GASLIQ,183.1
2016,_L_POL_GASLIQ,163.0
2017,_L_POL_GASLIQ,122.1
2018,_L_POL_GASLIQ,192.6
2019,_L_POL_GASLIQ,175.1
2010,_L_POL_S02,39.5
2011,_L_POL_S02,47.0
2012,_L_POL_S02,27.1
2013,_L_POL_S02,63.1
2014,_L_POL_S02,92.3
2015,_L_POL_S02,95.4
2016,_L_POL_S02,80.6
2017,_L_POL_S02,39.0
2018,_L_POL_S02,90.3
2019,_L_POL_S02,75.5
2010,_L_POL_CO,17.0
2011,_L_POL_CO,48.4
2012,_L_POL_CO,49.8
2013,_L_POL_CO,52.3
2014,_L_POL_CO,61.5
2015,_L_POL_CO,49.9
2016,_L_POL_CO,47.1
2017,_L_POL_CO,47.1
2018,_L_POL_CO,60.7
2019,_L_POL_CO,48.0
2010,_L_POL_NOX,12.5
2011,_L_POL_NOX,15.4
2012,_L_POL_NOX,17.6
2013,_L_POL_NOX,17.3
2014,_L_POL_NOX,21.2
2015,_L_POL_NOX,20.0
2016,_L_POL_NOX,21.8
2017,_L_POL_NOX,19.5
2018,_L_POL_NOX,22.8
2019,_L_POL_NOX,25.5
