Year,SDG Series,Reference area,Age,Value
2015,Proportion of women aged 15-49 years with anaemia [2.2.3],,,3.4
2016,Proportion of women aged 15-49 years with anaemia [2.2.3],,,2.8
2017,Proportion of women aged 15-49 years with anaemia [2.2.3],,,2.8
2018,Proportion of women aged 15-49 years with anaemia [2.2.3],,,2.5
2019,Proportion of women aged 15-49 years with anaemia [2.2.3],,,20.0
2020,Proportion of women aged 15-49 years with anaemia [2.2.3],,,12.0
2021,Proportion of women aged 15-49 years with anaemia [2.2.3],,,13.0
2015,Proportion of women aged 15-49 years with anaemia [2.2.3],,under 14 years old,3.9
2016,Proportion of women aged 15-49 years with anaemia [2.2.3],,under 14 years old,3.2
2017,Proportion of women aged 15-49 years with anaemia [2.2.3],,under 14 years old,3.4
2018,Proportion of women aged 15-49 years with anaemia [2.2.3],,under 14 years old,3.0
2019,Proportion of women aged 15-49 years with anaemia [2.2.3],,under 14 years old,2.5
2020,Proportion of women aged 15-49 years with anaemia [2.2.3],,under 14 years old,13.0
2021,Proportion of women aged 15-49 years with anaemia [2.2.3],,under 14 years old,15.0
2015,Proportion of women aged 15-49 years with anaemia [2.2.3],,15 years old and over,3.2
2016,Proportion of women aged 15-49 years with anaemia [2.2.3],,15 years old and over,2.6
2017,Proportion of women aged 15-49 years with anaemia [2.2.3],,15 years old and over,2.6
2018,Proportion of women aged 15-49 years with anaemia [2.2.3],,15 years old and over,2.3
2019,Proportion of women aged 15-49 years with anaemia [2.2.3],,15 years old and over,1.8
2020,Proportion of women aged 15-49 years with anaemia [2.2.3],,15 years old and over,11.0
2021,Proportion of women aged 15-49 years with anaemia [2.2.3],,15 years old and over,11.0
2015,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",,,528.0
2016,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",,,475.0
2017,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",,,528.0
2018,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",,,590.0
2019,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",,,552.0
2020,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",,,404.0
2021,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",,,354.0
2015,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Batken,,933.0
2016,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Batken,,634.0
2017,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Batken,,879.0
2018,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Batken,,869.0
2019,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Batken,,882.0
2020,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Batken,,621.0
2021,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Batken,,592.0
2015,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Jalal-Abad,,698.0
2016,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Jalal-Abad,,568.0
2017,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Jalal-Abad,,706.0
2018,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Jalal-Abad,,751.0
2019,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Jalal-Abad,,803.0
2020,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Jalal-Abad,,597.0
2021,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Jalal-Abad,,448.0
2015,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Issyk-Kul,,332.0
2016,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Issyk-Kul,,351.0
2017,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Issyk-Kul,,392.0
