Year,concept.SEX,Value
2007,,16.7
2008,,17.0
2009,,17.8
2010,,18.3
2011,,17.4
2012,,17.7
2013,,22.1
2014,,20.7
2015,,21.4
2016,,20.4
2017,,21.0
2018,,20.5
2019,,21.0
2007,CL_SEX.M,10.7
2008,CL_SEX.M,12.8
2009,CL_SEX.M,12.3
2010,CL_SEX.M,11.5
2011,CL_SEX.M,9.7
2012,CL_SEX.M,10.1
2013,CL_SEX.M,14.3
2014,CL_SEX.M,12.5
2015,CL_SEX.M,13.6
2016,CL_SEX.M,12.1
2017,CL_SEX.M,12.3
2018,CL_SEX.M,12.0
2019,CL_SEX.M,12.6
2007,CL_SEX.F,22.8
2008,CL_SEX.F,21.3
2009,CL_SEX.F,23.5
2010,CL_SEX.F,25.2
2011,CL_SEX.F,25.2
2012,CL_SEX.F,25.5
2013,CL_SEX.F,30.0
2014,CL_SEX.F,29.2
2015,CL_SEX.F,29.5
2016,CL_SEX.F,29.0
2017,CL_SEX.F,30.1
2018,CL_SEX.F,29.4
2019,CL_SEX.F,29.6
