Year,Series,Value
2013,CL_SERIES._L_KG_150201_1,1037.0
2014,CL_SERIES._L_KG_150201_1,778.0
2015,CL_SERIES._L_KG_150201_1,507.0
2016,CL_SERIES._L_KG_150201_1,616.0
2017,CL_SERIES._L_KG_150201_1,490.0
2018,CL_SERIES._L_KG_150201_1,400.0
2019,CL_SERIES._L_KG_150201_1,412.0
2013,CL_SERIES.AG_LND_FRSTBIOPHA,26.7
2013,CL_SERIES.AG_LND_FRSTPRCT,5.7
2014,CL_SERIES.AG_LND_FRSTPRCT,5.7
2015,CL_SERIES.AG_LND_FRSTPRCT,5.7
2016,CL_SERIES.AG_LND_FRSTPRCT,5.7
2017,CL_SERIES.AG_LND_FRSTPRCT,5.7
2018,CL_SERIES.AG_LND_FRSTPRCT,5.8
2013,CL_SERIES.AG_LND_FRSTMGT,74.6
2014,CL_SERIES.AG_LND_FRSTMGT,76.4
2015,CL_SERIES.AG_LND_FRSTMGT,78.0
2016,CL_SERIES.AG_LND_FRSTMGT,79.6
2017,CL_SERIES.AG_LND_FRSTMGT,81.3
2018,CL_SERIES.AG_LND_FRSTMGT,82.6
