Year,Series,REF_AREA,SEX,Value
2007,SL_EMP_INJUR,,,27.716013
2008,SL_EMP_INJUR,,,32.316212
2009,SL_EMP_INJUR,,,24.233586
2010,SL_EMP_INJUR,,,90.112821
2011,SL_EMP_INJUR,,,27.924874
2012,SL_EMP_INJUR,,,27.025061
2013,SL_EMP_INJUR,,,38.431743
2014,SL_EMP_INJUR,,,29.216361
2015,SL_EMP_INJUR,,,22.079153
2016,SL_EMP_INJUR,,,24.463597
2017,SL_EMP_INJUR,,,17.014573
2018,SL_EMP_INJUR,,,25.028299
2019,SL_EMP_INJUR,,,21.813169
2007,SL_EMP_INJUR,,F,15.549077
2008,SL_EMP_INJUR,,F,13.157949
2009,SL_EMP_INJUR,,F,10.590847
2010,SL_EMP_INJUR,,F,19.815059
2011,SL_EMP_INJUR,,F,10.078654
2012,SL_EMP_INJUR,,F,12.820667
2013,SL_EMP_INJUR,,F,16.056764
2014,SL_EMP_INJUR,,F,15.507042
2015,SL_EMP_INJUR,,F,8.391925
2016,SL_EMP_INJUR,,F,16.384907
2017,SL_EMP_INJUR,,F,13.60476
2018,SL_EMP_INJUR,,F,14.914402
2019,SL_EMP_INJUR,,F,12.801351
2007,SL_EMP_INJUR,,M,41.775785
2008,SL_EMP_INJUR,,M,52.283772
2009,SL_EMP_INJUR,,M,38.855636
2010,SL_EMP_INJUR,,M,164.348209
2011,SL_EMP_INJUR,,M,46.448956
2012,SL_EMP_INJUR,,M,42.343954
2013,SL_EMP_INJUR,,M,63.293021
2014,SL_EMP_INJUR,,M,44.619333
2015,SL_EMP_INJUR,,M,37.859348
2016,SL_EMP_INJUR,,M,33.692722
2017,SL_EMP_INJUR,,M,20.921618
2018,SL_EMP_INJUR,,M,36.61573
2019,SL_EMP_INJUR,,M,31.967565
2007,SL_EMP_INJUR,KG05,,11.184431
2008,SL_EMP_INJUR,KG05,,52.931596
2009,SL_EMP_INJUR,KG05,,25.97515
2010,SL_EMP_INJUR,KG05,,66.960769
2011,SL_EMP_INJUR,KG05,,44.998269
2012,SL_EMP_INJUR,KG05,,44.855428
2013,SL_EMP_INJUR,KG05,,40.545177
2014,SL_EMP_INJUR,KG05,,60.180542
2015,SL_EMP_INJUR,KG05,,5.901968
2016,SL_EMP_INJUR,KG05,,11.837822
2017,SL_EMP_INJUR,KG05,,16.899028
2018,SL_EMP_INJUR,KG05,,14.249886
2019,SL_EMP_INJUR,KG05,,16.981773
2010,SL_EMP_INJUR,KG05,F,8.934954
2012,SL_EMP_INJUR,KG05,F,14.155283
2016,SL_EMP_INJUR,KG05,F,5.608525
2007,SL_EMP_INJUR,KG05,M,21.335609
2008,SL_EMP_INJUR,KG05,M,93.471383
2009,SL_EMP_INJUR,KG05,M,49.829748
2010,SL_EMP_INJUR,KG05,M,112.707805
2011,SL_EMP_INJUR,KG05,M,86.672445
2012,SL_EMP_INJUR,KG05,M,74.059113
2013,SL_EMP_INJUR,KG05,M,76.587722
2014,SL_EMP_INJUR,KG05,M,131.373162
2015,SL_EMP_INJUR,KG05,M,12.854297
2016,SL_EMP_INJUR,KG05,M,18.796992
2017,SL_EMP_INJUR,KG05,M,37.225462
2018,SL_EMP_INJUR,KG05,M,32.427524
2019,SL_EMP_INJUR,KG05,M,38.444288
2007,SL_EMP_INJUR,KG03,,57.34356
2008,SL_EMP_INJUR,KG03,,34.763683
2009,SL_EMP_INJUR,KG03,,46.934978
2010,SL_EMP_INJUR,KG03,,41.29774
2011,SL_EMP_INJUR,KG03,,34.63367
2012,SL_EMP_INJUR,KG03,,32.200193
2013,SL_EMP_INJUR,KG03,,35.998247
2014,SL_EMP_INJUR,KG03,,22.677108
2015,SL_EMP_INJUR,KG03,,20.82061
2016,SL_EMP_INJUR,KG03,,26.515574
2017,SL_EMP_INJUR,KG03,,14.554885
2018,SL_EMP_INJUR,KG03,,46.09873
2019,SL_EMP_INJUR,KG03,,14.31397
2007,SL_EMP_INJUR,KG03,F,13.387777
2008,SL_EMP_INJUR,KG03,F,2.896032
2009,SL_EMP_INJUR,KG03,F,6.402868
2010,SL_EMP_INJUR,KG03,F,3.165859
2012,SL_EMP_INJUR,KG03,F,5.598477
2013,SL_EMP_INJUR,KG03,F,2.833263
2014,SL_EMP_INJUR,KG03,F,5.61782
2015,SL_EMP_INJUR,KG03,F,2.531197
2016,SL_EMP_INJUR,KG03,F,10.194459
