Year,COMMENT_OBS,SERIES,DATA_LAST_UPDATE,Value
2015,"Value ""1"" represents country's birth registration data are at least 90 per cent complete. ""0"" represents country's birth registration data are less than 90 per cent complete.",SG_REG_BRTH90N,2024-07-09T00:00:00,1
2016,"Value ""1"" represents country's birth registration data are at least 90 per cent complete. ""0"" represents country's birth registration data are less than 90 per cent complete.",SG_REG_BRTH90N,2024-07-09T00:00:00,1
2017,"Value ""1"" represents country's birth registration data are at least 90 per cent complete. ""0"" represents country's birth registration data are less than 90 per cent complete.",SG_REG_BRTH90N,2024-07-09T00:00:00,1
2018,"Value ""1"" represents country's birth registration data are at least 90 per cent complete. ""0"" represents country's birth registration data are less than 90 per cent complete.",SG_REG_BRTH90N,2024-07-09T00:00:00,1
2019,"Value ""1"" represents country's birth registration data are at least 90 per cent complete. ""0"" represents country's birth registration data are less than 90 per cent complete.",SG_REG_BRTH90N,2024-07-09T00:00:00,1
2020,"Value ""1"" represents country's birth registration data are at least 90 per cent complete. ""0"" represents country's birth registration data are less than 90 per cent complete.",SG_REG_BRTH90N,2024-07-09T00:00:00,1
2021,"Value ""1"" represents country's birth registration data are at least 90 per cent complete. ""0"" represents country's birth registration data are less than 90 per cent complete.",SG_REG_BRTH90N,2024-07-09T00:00:00,1
2022,,SG_REG_CENSUSN,2024-09-26T00:00:00,1
2015,"Value ""1"" represents country's death registration data are at least 75 per cent complete. ""0"" represents country's death registration data are less than 75 per cent complete.",SG_REG_DETH75N,2024-07-09T00:00:00,1
2016,"Value ""1"" represents country's death registration data are at least 75 per cent complete. ""0"" represents country's death registration data are less than 75 per cent complete.",SG_REG_DETH75N,2024-07-09T00:00:00,1
2017,"Value ""1"" represents country's death registration data are at least 75 per cent complete. ""0"" represents country's death registration data are less than 75 per cent complete.",SG_REG_DETH75N,2024-07-09T00:00:00,1
2018,"Value ""1"" represents country's death registration data are at least 75 per cent complete. ""0"" represents country's death registration data are less than 75 per cent complete.",SG_REG_DETH75N,2024-07-09T00:00:00,1
2019,"Value ""1"" represents country's death registration data are at least 75 per cent complete. ""0"" represents country's death registration data are less than 75 per cent complete.",SG_REG_DETH75N,2024-07-09T00:00:00,1
2020,"Value ""1"" represents country's death registration data are at least 75 per cent complete. ""0"" represents country's death registration data are less than 75 per cent complete.",SG_REG_DETH75N,2024-07-09T00:00:00,1
2021,"Value ""1"" represents country's death registration data are at least 75 per cent complete. ""0"" represents country's death registration data are less than 75 per cent complete.",SG_REG_DETH75N,2024-07-09T00:00:00,1
