Year,Территория,Пол,Возраст,Тип местности,Уровень дохода или квантиль благосостояния,Уровень образования,Value
2016,,,,,,,76.65949
2017,,,,,,,79.591408
2018,,,,,,,75.693466
2019,,,,,,,76.1
2020,,,,,,,72.8
2016,,,,Городская,,,86.923359
2017,,,,Городская,,,88.370239
2018,,,,Городская,,,88.614312
2019,,,,Городская,,,90.5
2020,,,,Городская,,,88.5
2016,,,,Сельская,,,71.082283
2017,,,,Сельская,,,74.829362
2018,,,,Сельская,,,68.679954
2019,,,,Сельская,,,68.0
2020,,,,Сельская,,,64.0
2016,,Мужчины,,,,,76.070682
2017,,Мужчины,,,,,79.163385
2018,,Мужчины,,,,,74.691389
2019,,Мужчины,,,,,75.1
2020,,Мужчины,,,,,71.8
2016,,Женщины,,,,,77.193586
2017,,Женщины,,,,,79.979372
2018,,Женщины,,,,,76.58919
2019,,Женщины,,,,,76.9
2020,,Женщины,,,,,73.7
2016,Баткенская область,,,,,,75.839901
2017,Баткенская область,,,,,,70.826955
2018,Баткенская область,,,,,,71.771366
2019,Баткенская область,,,,,,71.6
2020,Баткенская область,,,,,,71.0
2016,Джалал-Абадская область,,,,,,76.702406
2017,Джалал-Абадская область,,,,,,74.372043
2018,Джалал-Абадская область,,,,,,64.443145
2019,Джалал-Абадская область,,,,,,66.6
2020,Джалал-Абадская область,,,,,,52.6
2016,Иссык-Кульская область,,,,,,47.347626
2017,Иссык-Кульская область,,,,,,57.4837
2018,Иссык-Кульская область,,,,,,67.008718
2019,Иссык-Кульская область,,,,,,66.5
2020,Иссык-Кульская область,,,,,,48.6
2016,Нарынская область,,,,,,77.440012
2017,Нарынская область,,,,,,79.315292
2018,Нарынская область,,,,,,79.01207
2019,Нарынская область,,,,,,67.0
2020,Нарынская область,,,,,,77.4
2016,Ошская область,,,,,,74.642534
2017,Ошская область,,,,,,79.01967
2018,Ошская область,,,,,,66.576206
2019,Ошская область,,,,,,68.3
2020,Ошская область,,,,,,66.9
2016,Таласская область,,,,,,73.7187
2017,Таласская область,,,,,,74.070232
2018,Таласская область,,,,,,53.969782
2019,Таласская область,,,,,,52.5
2020,Таласская область,,,,,,53.6
2016,Чуйская область,,,,,,72.259617
2017,Чуйская область,,,,,,82.936082
2018,Чуйская область,,,,,,88.432638
2019,Чуйская область,,,,,,84.9
2020,Чуйская область,,,,,,87.3
2016,г. Бишкек,,,,,,91.985988
2017,г. Бишкек,,,,,,95.050715
2018,г. Бишкек,,,,,,93.868046
2019,г. Бишкек,,,,,,98.2
2020,г. Бишкек,,,,,,99.6
2016,г. Ош,,,,,,100.0
2017,г. Ош,,,,,,99.418328
2018,г. Ош,,,,,,100.0
2019,г. Ош,,,,,,99.8
2020,г. Ош,,,,,,100.0
2016,,,до 6 лет,,,,75.934458
2017,,,до 6 лет,,,,77.895976
2018,,,до 6 лет,,,,75.284861
2019,,,до 6 лет,,,,75.1
2020,,,до 6 лет,,,,71.8
2016,,,от 7 до 14 лет,,,,76.34227
2017,,,от 7 до 14 лет,,,,78.403908
2018,,,от 7 до 14 лет,,,,75.798122
2019,,,от 7 до 14 лет,,,,75.1
2020,,,от 7 до 14 лет,,,,71.2
2016,,,от 15 до 28 лет,,,,77.131081
2017,,,от 15 до 28 лет,,,,81.295318
2018,,,от 15 до 28 лет,,,,74.302741
2019,,,от 15 до 28 лет,,,,75.9
2020,,,от 15 до 28 лет,,,,73.0
2016,,,"от 29 до 62 лет (население трудоспособного возраста: женщины до 57 лет, мужчины до 62 лет)",,,,76.831249
2017,,,"от 29 до 62 лет (население трудоспособного возраста: женщины до 57 лет, мужчины до 62 лет)",,,,79.634405
2018,,,"от 29 до 62 лет (население трудоспособного возраста: женщины до 57 лет, мужчины до 62 лет)",,,,76.521211
2019,,,"от 29 до 62 лет (население трудоспособного возраста: женщины до 57 лет, мужчины до 62 лет)",,,,77.4
2020,,,"от 29 до 62 лет (население трудоспособного возраста: женщины до 57 лет, мужчины до 62 лет)",,,,74.2
2016,,,"58 лет и старше (население старше струдоспособного возраста: женщины 58 лет и старше, мужчины 63 лет и старше)",,,,76.794901
2017,,,"58 лет и старше (население старше струдоспособного возраста: женщины 58 лет и старше, мужчины 63 лет и старше)",,,,80.93039
2018,,,"58 лет и старше (население старше струдоспособного возраста: женщины 58 лет и старше, мужчины 63 лет и старше)",,,,75.760086
2019,,,"58 лет и старше (население старше струдоспособного возраста: женщины 58 лет и старше, мужчины 63 лет и старше)",,,,74.9
2020,,,"58 лет и старше (население старше струдоспособного возраста: женщины 58 лет и старше, мужчины 63 лет и старше)",,,,72.1
2016,,,,,,Начальное образование,75.216542
2017,,,,,,Начальное образование,78.30484
2018,,,,,,Начальное образование,75.141999
2019,,,,,,Начальное образование,75.1
2020,,,,,,Начальное образование,71.7
2016,,,,,,Первый этап среднего образования,80.225607
2017,,,,,,Первый этап среднего образования,79.020964
2018,,,,,,Первый этап среднего образования,76.53136
2019,,,,,,Первый этап среднего образования,77.3
2020,,,,,,Первый этап среднего образования,73.8
2016,,,,,,Второй этап среднего образования,75.037157
2017,,,,,,Второй этап среднего образования,78.352825
2018,,,,,,Второй этап среднего образования,72.09416
2019,,,,,,Второй этап среднего образования,74.1
2020,,,,,,Второй этап среднего образования,69.5
2016,,,,,,Послесреднее нетретичное образование,78.366259
2017,,,,,,Послесреднее нетретичное образование,83.853085
2018,,,,,,Послесреднее нетретичное образование,80.180024
2019,,,,,,Послесреднее нетретичное образование,79.0
2020,,,,,,Послесреднее нетретичное образование,77.1
2016,,,,,,Высшее образование (бакалавриат и магистратура или эквиваленты),79.940306
2017,,,,,,Высшее образование (бакалавриат и магистратура или эквиваленты),83.947666
2018,,,,,,Высшее образование (бакалавриат и магистратура или эквиваленты),82.067382
2019,,,,,,Высшее образование (бакалавриат и магистратура или эквиваленты),81.4
2020,,,,,,Высшее образование (бакалавриат и магистратура или эквиваленты),80.4
2016,,,,,Квинтиль 1 (беднейшие),,72.459521
2017,,,,,Квинтиль 1 (беднейшие),,79.324082
2018,,,,,Квинтиль 1 (беднейшие),,74.701544
2019,,,,,Квинтиль 1 (беднейшие),,71.6
2020,,,,,Квинтиль 1 (беднейшие),,66.873388
2016,,,,,Квинтиль 2,,77.314517
2017,,,,,Квинтиль 2,,81.925162
2018,,,,,Квинтиль 2,,74.760832
2019,,,,,Квинтиль 2,,73.0
2020,,,,,Квинтиль 2,,76.162079
2016,,,,,Квинтиль 3,,77.695134
2017,,,,,Квинтиль 3,,79.355343
2018,,,,,Квинтиль 3,,75.445514
2019,,,,,Квинтиль 3,,79.8
2020,,,,,Квинтиль 3,,73.787028
2016,,,,,Квинтиль 4,,78.152318
2017,,,,,Квинтиль 4,,78.68821
2018,,,,,Квинтиль 4,,75.522557
2019,,,,,Квинтиль 4,,78.6
2020,,,,,Квинтиль 4,,76.372727
2016,,,,,Квинтиль 5 (богатейшие),,77.652465
2017,,,,,Квинтиль 5 (богатейшие),,78.64359
2018,,,,,Квинтиль 5 (богатейшие),,78.047036
2019,,,,,Квинтиль 5 (богатейшие),,77.2
2020,,,,,Квинтиль 5 (богатейшие),,73.088156
