Year,Reference area,Degree of urbanisation,GeoCode,Value
2013,,,,17.5
2014,,,,19.5
2015,,,,19.9
2016,,,,22.1
2017,,,,23.5
2018,,,,24.6
2019,,,,25.4
2020,,,,22.0
2021,,,,23.9
2013,,Urban,,31.6
2014,,Urban,,32.3
2015,,Urban,,31.1
2016,,Urban,,32.3
2017,,Urban,,34.2
2018,,Urban,,34.6
2019,,Urban,,34.5
2020,,Urban,,29.1
2021,,Urban,,28.5
2013,,Rural,,10.8
2014,,Rural,,13.2
2015,,Rural,,14.2
2016,,Rural,,16.6
2017,,Rural,,17.9
2018,,Rural,,19.3
2019,,Rural,,20.6
2020,,Rural,,20.2
2021,,Rural,,21.3
2013,Batken,,KG05,16.1
2014,Batken,,KG05,19.6
2015,Batken,,KG05,20.6
2016,Batken,,KG05,23.9
2017,Batken,,KG05,25.8
2018,Batken,,KG05,26.3
2019,Batken,,KG05,28.5
2020,Batken,,KG05,26.8
2021,Batken,,KG05,28.1
2013,Batken,Urban,KG05,33.3
2014,Batken,Urban,KG05,33.1
2015,Batken,Urban,KG05,30.5
2016,Batken,Urban,KG05,32.8
2017,Batken,Urban,KG05,33.2
2018,Batken,Urban,KG05,34.0
2019,Batken,Urban,KG05,42.7
2020,Batken,Urban,KG05,39.8
2021,Batken,Urban,KG05,44.5
2013,Batken,Rural,KG05,10.2
2014,Batken,Rural,KG05,14.6
2015,Batken,Rural,KG05,16.7
2016,Batken,Rural,KG05,20.5
2017,Batken,Rural,KG05,23.0
2018,Batken,Rural,KG05,23.3
2019,Batken,Rural,KG05,23.8
2020,Batken,Rural,KG05,22.7
2021,Batken,Rural,KG05,23.3
2013,Jalal-Abad,,KG03,15.2
2014,Jalal-Abad,,KG03,15.5
2015,Jalal-Abad,,KG03,16.1
2016,Jalal-Abad,,KG03,18.7
2017,Jalal-Abad,,KG03,20.2
2018,Jalal-Abad,,KG03,21.8
2019,Jalal-Abad,,KG03,23.0
