Year,Reference area,Observation-level footnotes,GeoCode,Value
2011,,,,25.409176
2012,,,,26.881444
2013,,,,28.022386
2014,,,,28.074762
2015,,,,28.6
2016,,,,30.19144
2017,,,,31.303387
2018,,,,31.5
2019,,,,31.5
2020,,,,34.377951
2011,Batken,,KG05,2.969818
2012,Batken,,KG05,3.652891
2013,Batken,,KG05,4.783063
2014,Batken,,KG05,5.22038
2015,Batken,,KG05,6.7
2016,Batken,,KG05,6.305084
2017,Batken,,KG05,12.021957
2018,Batken,,KG05,9.1
2019,Batken,,KG05,5.9
2020,Batken,,KG05,4.835824
2011,Jalal-Abad,,KG03,8.771071
2012,Jalal-Abad,,KG03,11.68593
2013,Jalal-Abad,,KG03,5.494964
2014,Jalal-Abad,,KG03,5.609329
2015,Jalal-Abad,,KG03,5.6
2016,Jalal-Abad,,KG03,8.344442
2017,Jalal-Abad,,KG03,14.376773
2018,Jalal-Abad,,KG03,9.0
2019,Jalal-Abad,,KG03,6.2
2020,Jalal-Abad,,KG03,5.954303
2011,Issyk-Kul,,KG02,15.385834
2012,Issyk-Kul,,KG02,18.787622
2013,Issyk-Kul,,KG02,25.08602
2014,Issyk-Kul,,KG02,24.163374
2015,Issyk-Kul,,KG02,27.1
2016,Issyk-Kul,,KG02,29.986451
2017,Issyk-Kul,,KG02,38.652292
2018,Issyk-Kul,,KG02,41.4
2019,Issyk-Kul,,KG02,30.5
2020,Issyk-Kul,,KG02,51.211066
2011,Naryn,,KG04,5.550544
2012,Naryn,,KG04,6.265404
2013,Naryn,,KG04,12.479392
2014,Naryn,,KG04,14.196022
2015,Naryn,,KG04,13.7
2016,Naryn,,KG04,16.983673
2017,Naryn,,KG04,17.842313
2018,Naryn,,KG04,20.4
2019,Naryn,,KG04,21.8
2020,Naryn,,KG04,27.156801
2011,Osh,until 2013 y. including Osh city,KG06,8.251864
2012,Osh,until 2013 y. including Osh city,KG06,7.824961
2013,Osh,,KG06,0.189906
2014,Osh,,KG06,0.726994
2015,Osh,,KG06,0.5
2016,Osh,,KG06,0.449882
2017,Osh,,KG06,0.007154
2018,Osh,,KG06,0.5
2019,Osh,,KG06,1.7
2020,Osh,,KG06,0.943312
2011,Talas,,KG07,9.034237
2012,Talas,,KG07,7.840579
2013,Talas,,KG07,5.098828
2014,Talas,,KG07,5.493332
2015,Talas,,KG07,6.5
2016,Talas,,KG07,6.516559
2017,Talas,,KG07,6.137177
2018,Talas,,KG07,6.0
2019,Talas,,KG07,6.2
2020,Talas,,KG07,7.850959
2011,Chui,,KG08,41.925111
2012,Chui,,KG08,46.114486
2013,Chui,,KG08,46.193852
2014,Chui,,KG08,49.202745
2015,Chui,,KG08,48.7
2016,Chui,,KG08,50.971427
2017,Chui,,KG08,48.935048
2018,Chui,,KG08,56.8
2019,Chui,,KG08,63.3
2020,Chui,,KG08,64.733303
2011,Bishkek (city),,KG11,84.55425
2012,Bishkek (city),,KG11,85.140509
2013,Bishkek (city),,KG11,98.608136
2014,Bishkek (city),,KG11,99.390116
2015,Bishkek (city),,KG11,98.6
2016,Bishkek (city),,KG11,99.663698
2017,Bishkek (city),,KG11,97.392326
2018,Bishkek (city),,KG11,96.5
2019,Bishkek (city),,KG11,96.1
2020,Bishkek (city),,KG11,97.679548
2013,Osh (city),,KG21,28.7317
2014,Osh (city),,KG21,27.932014
2015,Osh (city),,KG21,28.2
2016,Osh (city),,KG21,29.548534
2017,Osh (city),,KG21,25.391511
2018,Osh (city),,KG21,25.5
2019,Osh (city),,KG21,30.9
2020,Osh (city),,KG21,46.725153
