Year,Reference area,Sex,Age,Degree of urbanisation,Value
2016,,,,,50.2
2017,,,,,50.5
2018,,,,,45.8
2019,,,,,42.3
2020,,,,,42.2
2016,,Male,,,503.0
2017,,Male,,,503.0
2018,,Male,,,45.8
2019,,Male,,,42.7
2020,,Male,,,42.5
2016,,Female,,,501.0
2017,,Female,,,506.0
2018,,Female,,,45.9
2019,,Female,,,41.9
2020,,Female,,,42.0
2016,,,under 18 years old,,597.0
2017,,,under 18 years old,,600.0
2018,,,under 18 years old,,560.0
2019,,,under 18 years old,,520.0
2020,,,under 18 years old,,509.0
2016,,,18 to 64 years old,,437.0
2017,,,18 to 64 years old,,441.0
2018,,,18 to 64 years old,,39.3
2019,,,18 to 64 years old,,35.9
2020,,,18 to 64 years old,,36.9
2016,,,65 years old and over,,49.2
2017,,,65 years old and over,,46.4
2018,,,65 years old and over,,38.6
2019,,,65 years old and over,,37.0
2020,,,65 years old and over,,34.8
2016,,,,Urban,369.0
2017,,,,Urban,387.0
2018,,,,Urban,33.8
2019,,,,Urban,31.1
2020,,,,Urban,30.7
2016,,,,Rural,574.0
2017,,,,Rural,568.0
2018,,,,Rural,52.4
2019,,,,Rural,48.5
2020,,,,Rural,48.8
2016,Batken,,,,649.0
2017,Batken,,,,660.0
2018,Batken,,,,64.8
2019,Batken,,,,63.5
2020,Batken,,,,61.1
2016,Jalal-Abad,,,,596.0
2017,Jalal-Abad,,,,615.0
2018,Jalal-Abad,,,,53.8
2019,Jalal-Abad,,,,50.4
2020,Jalal-Abad,,,,56.7
2016,Issyk-Kul,,,,45.2
2017,Issyk-Kul,,,,470.0
2018,Issyk-Kul,,,,42.7
2019,Issyk-Kul,,,,46.3
2020,Issyk-Kul,,,,41.6
2016,Naryn,,,,583.0
2017,Naryn,,,,500.0
2018,Naryn,,,,48.5
2019,Naryn,,,,47.8
2020,Naryn,,,,49.0
2016,Osh,,,,575.0
2017,Osh,,,,521.0
2018,Osh,,,,58.5
2019,Osh,,,,45.8
2020,Osh,,,,43.5
2016,Talas,,,,498.0
2017,Talas,,,,398.0
2018,Talas,,,,430.0
2019,Talas,,,,402.0
2020,Talas,,,,339.0
2016,Chui,,,,454.0
2017,Chui,,,,48.7
2018,Chui,,,,280.0
2019,Chui,,,,317.0
2020,Chui,,,,346.0
2016,Bishkek (city),,,,268.0
2017,Bishkek (city),,,,29.9
2018,Bishkek (city),,,,25.4
2019,Bishkek (city),,,,22.2
2020,Bishkek (city),,,,23.6
2016,Osh (city),,,,473.0
2017,Osh (city),,,,58.6
2018,Osh (city),,,,51.3
2019,Osh (city),,,,45.9
2020,Osh (city),,,,35.9
