Year,Территория,Возраст,Тип местности,Уровень дохода или квантиль благосостояния,Уровень образования,Статус инвалидности,GeoCode,Value
2014,,,,,,,,420
2018,,,,,,,,674
2023,,,,,,,,590
2014,Баткенская область,,,,,,KG05,450
2018,Баткенская область,,,,,,KG05,486
2023,Баткенская область,,,,,,KG05,433
2014,Джалал-Абадская область,,,,,,KG03,314
2018,Джалал-Абадская область,,,,,,KG03,562
2023,Джалал-Абадская область,,,,,,KG03,515
2014,Иссык-Кульская область,,,,,,KG02,460
2018,Иссык-Кульская область,,,,,,KG02,651
2023,Иссык-Кульская область,,,,,,KG02,619
2014,Нарынская область,,,,,,KG04,589
2018,Нарынская область,,,,,,KG04,798
2023,Нарынская область,,,,,,KG04,740
2014,Ошская область,,,,,,KG06,384
2018,Ошская область,,,,,,KG06,711
2023,Ошская область,,,,,,KG06,560
2014,Таласская область,,,,,,KG07,434
2018,Таласская область,,,,,,KG07,791
2023,Таласская область,,,,,,KG07,809
2014,Чуйская область,,,,,,KG08,478
2018,Чуйская область,,,,,,KG08,707
2023,Чуйская область,,,,,,KG08,613
2014,г. Бишкек,,,,,,KG11,470
2018,г. Бишкек,,,,,,KG11,696
2023,г. Бишкек,,,,,,KG11,718
2014,г. Ош,,,,,,KG21,383
2018,г. Ош,,,,,,KG21,713
2023,г. Ош,,,,,,KG21,586
2014,,,Городская,,,,,431
2018,,,Городская,,,,,686
2023,,,Городская,,,,,606
2014,,,Сельская,,,,,414
2018,,,Сельская,,,,,667
2023,,,Сельская,,,,,583
2014,,от 15 до 19 лет,,,,,,174
2018,,от 15 до 19 лет,,,,,,317
2014,,от 20 до 24 лет,,,,,,289
2018,,от 20 до 24 лет,,,,,,538
2023,,от 20 до 24 лет,,,,,,357
2014,,от 25 до 29 лет,,,,,,392
2018,,от 25 до 29 лет,,,,,,599
2023,,от 25 до 29 лет,,,,,,501
2014,,от 30 до 34 лет,,,,,,504
2018,,от 30 до 34 лет,,,,,,762
2023,,от 30 до 34 лет,,,,,,570
2014,,от 35 до 39 лет,,,,,,572
2018,,от 35 до 39 лет,,,,,,745
2023,,от 35 до 39 лет,,,,,,663
2014,,от 40 до 44 лет,,,,,,522
2018,,от 40 до 44 лет,,,,,,687
2023,,от 40 до 44 лет,,,,,,689
2014,,от 45 до 49 лет,,,,,,293
2018,,от 45 до 49 лет,,,,,,660
2023,,от 45 до 49 лет,,,,,,638
2014,,,,,Начальное образование,,,204
2014,,,,,Первый этап среднего образования,,,365
2018,,,,,Первый этап среднего образования,,,678
2023,,,,,Первый этап среднего образования,,,629
2014,,,,,Второй этап среднего образования,,,421
2018,,,,,Второй этап среднего образования,,,629
2023,,,,,Второй этап среднего образования,,,558
2014,,,,,Послесреднее нетретичное образование,,,433
2018,,,,,Послесреднее нетретичное образование,,,662
2023,,,,,Послесреднее нетретичное образование,,,552
2014,,,,,Короткий цикл третичного образования,,,437
2018,,,,,Короткий цикл третичного образования,,,743
2023,,,,,Короткий цикл третичного образования,,,655
2018,,,,,,Лица с инвалидностью,,816
2018,,,,,,Лица без инвалидности,,671
2023,,,,,,Лица без инвалидности,,593
2014,,,,Квинтиль 1 (беднейшие),,,,425
2018,,,,Квинтиль 1 (беднейшие),,,,665
2023,,,,Квинтиль 1 (беднейшие),,,,489
2014,,,,Квинтиль 2,,,,378
2018,,,,Квинтиль 2,,,,607
2023,,,,Квинтиль 2,,,,582
2014,,,,Квинтиль 3,,,,391
2018,,,,Квинтиль 3,,,,692
2023,,,,Квинтиль 3,,,,584
2014,,,,Квинтиль 4,,,,451
2018,,,,Квинтиль 4,,,,693
2023,,,,Квинтиль 4,,,,622
2014,,,,Квинтиль 5 (богатейшие),,,,453
2018,,,,Квинтиль 5 (богатейшие),,,,714
2023,,,,Квинтиль 5 (богатейшие),,,,675
