Year,REF_AREA,SEX,AGE,URBANISATION,INCOME_WEALTH_QUANTILE,EDUCATION_LEV,GeoCode,Value
2018,,,,,,,,8.3
2019,,,,,,,,8.1
2020,,,,,,,,7.6
2018,,M,,,,,,17.7
2019,,M,,,,,,17.2
2020,,M,,,,,,16.0
2018,,F,,,,,,0.5
2019,,F,,,,,,0.4
2020,,F,,,,,,0.5
2018,,,,U,,,,6.4
2019,,,,U,,,,6.2
2020,,,,U,,,,6.2
2018,,,,R,,,,9.5
2019,,,,R,,,,9.2
2020,,,,R,,,,8.5
2018,KG05,,,,,,KG05,10.8
2019,KG05,,,,,,KG05,10.9
2020,KG05,,,,,,KG05,9.8
2018,KG03,,,,,,KG03,3.4
2019,KG03,,,,,,KG03,4.4
2020,KG03,,,,,,KG03,2.8
2018,KG02,,,,,,KG02,17.9
2019,KG02,,,,,,KG02,17.0
2020,KG02,,,,,,KG02,15.7
2018,KG04,,,,,,KG04,14.7
2019,KG04,,,,,,KG04,13.8
2020,KG04,,,,,,KG04,14.2
2018,KG06,,,,,,KG06,6.7
2019,KG06,,,,,,KG06,6.0
2020,KG06,,,,,,KG06,6.2
2018,KG07,,,,,,KG07,13.0
2019,KG07,,,,,,KG07,13.7
2020,KG07,,,,,,KG07,13.5
2018,KG08,,,,,,KG08,12.2
2019,KG08,,,,,,KG08,10.5
2020,KG08,,,,,,KG08,9.4
2018,KG11,,,,,,KG11,6.2
2019,KG11,,,,,,KG11,6.3
2020,KG11,,,,,,KG11,7.3
2018,KG21,,,,,,KG21,1.8
2019,KG21,,,,,,KG21,1.6
2020,KG21,,,,,,KG21,1.3
2018,,,Y15T24,,,,,0.4
2019,,,Y15T24,,,,,0.3
2020,,,Y15T24,,,,,0.4
2018,,,,,,ISCED11_1,,2.8
2019,,,,,,ISCED11_1,,3.4
2020,,,,,,ISCED11_1,,2.8
2018,,,,,,ISCED11_2,,3.5
2019,,,,,,ISCED11_2,,2.9
2020,,,,,,ISCED11_2,,3.8
2018,,,,,,ISCED11_3,,9.8
2019,,,,,,ISCED11_3,,9.3
2020,,,,,,ISCED11_3,,8.8
2018,,,,,,ISCED11_4,,11.7
2019,,,,,,ISCED11_4,,11.8
2020,,,,,,ISCED11_4,,10.8
2018,,,,,,ISCED11_5,,5.6
2019,,,,,,ISCED11_5,,5.5
2020,,,,,,ISCED11_5,,4.9
2018,,,,,Q1,,,8.0
2019,,,,,Q1,,,8.2
2020,,,,,Q1,,,7.9
2018,,,,,Q2,,,7.4
2019,,,,,Q2,,,7.8
2020,,,,,Q2,,,6.9
2018,,,,,Q3,,,8.5
2019,,,,,Q3,,,7.7
2020,,,,,Q3,,,8.0
2018,,,,,Q4,,,8.5
2019,,,,,Q4,,,8.0
2020,,,,,Q4,,,7.2
2018,,,,,Q5,,,9.6
2019,,,,,Q5,,,8.8
2020,,,,,Q5,,,8.1
