Year,Reference area,GeoCode,Value
2007,,,5.9
2008,,,5.5
2009,,,6.2
2010,,,6.2
2011,,,5.5
2012,,,4.4
2013,,,3.8
2014,,,3.5
2015,,,3.6
2016,,,2.7
2017,,,2.5
2018,,,2.3
2019,,,2.0
2020,,,2.1
2007,Batken,KG05,1.9
2008,Batken,KG05,1.9
2009,Batken,KG05,2.1
2010,Batken,KG05,2.5
2011,Batken,KG05,2.7
2012,Batken,KG05,2.4
2013,Batken,KG05,2.2
2014,Batken,KG05,0.6
2015,Batken,KG05,0.8
2016,Batken,KG05,2.0
2017,Batken,KG05,1.6
2018,Batken,KG05,1.5
2019,Batken,KG05,1.9
2020,Batken,KG05,2.4
2007,Jalal-Abad,KG03,1.7
2008,Jalal-Abad,KG03,2.5
2009,Jalal-Abad,KG03,3.6
2010,Jalal-Abad,KG03,5.0
2011,Jalal-Abad,KG03,4.1
2012,Jalal-Abad,KG03,3.5
2013,Jalal-Abad,KG03,4.0
2014,Jalal-Abad,KG03,2.9
2015,Jalal-Abad,KG03,2.1
2016,Jalal-Abad,KG03,2.0
2017,Jalal-Abad,KG03,1.4
2018,Jalal-Abad,KG03,1.7
2019,Jalal-Abad,KG03,1.4
2020,Jalal-Abad,KG03,1.4
2007,Issyk-Kul,KG02,8.3
2008,Issyk-Kul,KG02,7.1
2009,Issyk-Kul,KG02,7.3
2010,Issyk-Kul,KG02,4.7
2011,Issyk-Kul,KG02,7.8
2012,Issyk-Kul,KG02,8.0
2013,Issyk-Kul,KG02,5.5
2014,Issyk-Kul,KG02,6.9
2015,Issyk-Kul,KG02,6.0
2016,Issyk-Kul,KG02,3.2
2017,Issyk-Kul,KG02,3.3
2018,Issyk-Kul,KG02,3.9
2019,Issyk-Kul,KG02,5.1
2020,Issyk-Kul,KG02,3.2
2007,Naryn,KG04,5.1
2008,Naryn,KG04,6.2
2009,Naryn,KG04,6.2
2010,Naryn,KG04,8.4
2011,Naryn,KG04,6.4
2012,Naryn,KG04,6.4
2013,Naryn,KG04,3.0
2014,Naryn,KG04,3.7
2015,Naryn,KG04,7.2
2016,Naryn,KG04,4.3
2017,Naryn,KG04,4.2
2018,Naryn,KG04,2.1
2019,Naryn,KG04,3.8
2020,Naryn,KG04,2.4
2007,Osh,KG06,2.7
2008,Osh,KG06,2.7
2009,Osh,KG06,3.5
2010,Osh,KG06,3.8
2011,Osh,KG06,3.2
2012,Osh,KG06,1.8
2013,Osh,KG06,1.8
2014,Osh,KG06,1.8
2015,Osh,KG06,1.7
2016,Osh,KG06,1.8
2017,Osh,KG06,1.5
2018,Osh,KG06,2.0
2019,Osh,KG06,1.1
2020,Osh,KG06,0.8
2007,Talas,KG07,2.2
2008,Talas,KG07,6.7
2009,Talas,KG07,3.1
2010,Talas,KG07,5.6
2011,Talas,KG07,4.3
2012,Talas,KG07,5.9
2013,Talas,KG07,7.0
2014,Talas,KG07,5.3
2015,Talas,KG07,3.2
2016,Talas,KG07,2.4
2017,Talas,KG07,1.9
2018,Talas,KG07,0.8
2019,Talas,KG07,3.0
2020,Talas,KG07,2.2
2007,Chui,KG08,14.9
2008,Chui,KG08,12.7
2009,Chui,KG08,13.9
2010,Chui,KG08,13.3
2011,Chui,KG08,9.5
2012,Chui,KG08,9.2
2013,Chui,KG08,6.3
2014,Chui,KG08,6.4
2015,Chui,KG08,7.2
2016,Chui,KG08,5.5
2017,Chui,KG08,5.5
2018,Chui,KG08,3.7
2019,Chui,KG08,2.5
2020,Chui,KG08,4.5
2007,Bishkek (city),KG11,8.1
2008,Bishkek (city),KG11,7.0
2009,Bishkek (city),KG11,7.9
2010,Bishkek (city),KG11,6.4
2011,Bishkek (city),KG11,6.7
2012,Bishkek (city),KG11,3.6
2013,Bishkek (city),KG11,2.5
2014,Bishkek (city),KG11,3.6
2015,Bishkek (city),KG11,3.6
2016,Bishkek (city),KG11,2.6
2017,Bishkek (city),KG11,2.7
2018,Bishkek (city),KG11,2.3
2019,Bishkek (city),KG11,1.2
2020,Bishkek (city),KG11,1.4
2007,Osh (city),KG21,7.8
2008,Osh (city),KG21,3.1
2009,Osh (city),KG21,5.4
2010,Osh (city),KG21,4.7
2011,Osh (city),KG21,5.5
2012,Osh (city),KG21,1.5
2013,Osh (city),KG21,6.1
2014,Osh (city),KG21,1.9
2015,Osh (city),KG21,4.0
2016,Osh (city),KG21,1.1
2017,Osh (city),KG21,1.8
2018,Osh (city),KG21,1.7
2019,Osh (city),KG21,2.0
2020,Osh (city),KG21,3.2
