Year,Статус наблюдения,Характер данных,SERIES,Value
2000,Нормальное значение,Данные скорректированы страной,Доля развивающихся стран и наименее развитых стран в мировом товарном экспорте,0.007921
2001,Нормальное значение,Данные скорректированы страной,Доля развивающихся стран и наименее развитых стран в мировом товарном экспорте,0.007686
2002,Нормальное значение,Данные скорректированы страной,Доля развивающихся стран и наименее развитых стран в мировом товарном экспорте,0.007472
2003,Нормальное значение,Данные скорректированы страной,Доля развивающихся стран и наименее развитых стран в мировом товарном экспорте,0.007668
2004,Нормальное значение,Данные скорректированы страной,Доля развивающихся стран и наименее развитых стран в мировом товарном экспорте,0.007798
2005,Нормальное значение,Данные скорректированы страной,Доля развивающихся стран и наименее развитых стран в мировом товарном экспорте,0.006393
2006,Нормальное значение,Данные скорректированы страной,Доля развивающихся стран и наименее развитых стран в мировом товарном экспорте,0.007343
2007,Нормальное значение,Данные скорректированы страной,Доля развивающихся стран и наименее развитых стран в мировом товарном экспорте,0.009416
2008,Нормальное значение,Данные скорректированы страной,Доля развивающихся стран и наименее развитых стран в мировом товарном экспорте,0.011475
2009,Нормальное значение,Данные скорректированы страной,Доля развивающихся стран и наименее развитых стран в мировом товарном экспорте,0.013302
2010,Нормальное значение,Данные скорректированы страной,Доля развивающихся стран и наименее развитых стран в мировом товарном экспорте,0.01148
2011,Нормальное значение,Данные скорректированы страной,Доля развивающихся стран и наименее развитых стран в мировом товарном экспорте,0.010795
2012,Нормальное значение,Данные скорректированы страной,Доля развивающихся стран и наименее развитых стран в мировом товарном экспорте,0.010234
2013,Нормальное значение,Данные скорректированы страной,Доля развивающихся стран и наименее развитых стран в мировом товарном экспорте,0.010864
2014,Нормальное значение,Данные скорректированы страной,Доля развивающихся стран и наименее развитых стран в мировом товарном экспорте,0.009975
2015,Нормальное значение,Данные скорректированы страной,Доля развивающихся стран и наименее развитых стран в мировом товарном экспорте,0.008701
2016,Нормальное значение,Данные скорректированы страной,Доля развивающихся стран и наименее развитых стран в мировом товарном экспорте,0.009802
2017,Нормальное значение,Данные скорректированы страной,Доля развивающихся стран и наименее развитых стран в мировом товарном экспорте,0.009947
2018,Нормальное значение,Данные скорректированы страной,Доля развивающихся стран и наименее развитых стран в мировом товарном экспорте,0.009396
2019,Нормальное значение,Данные скорректированы страной,Доля развивающихся стран и наименее развитых стран в мировом товарном экспорте,0.010449
2020,Нормальное значение,Данные скорректированы страной,Доля развивающихся стран и наименее развитых стран в мировом товарном экспорте,0.01118
2021,Нормальное значение,Данные скорректированы страной,Доля развивающихся стран и наименее развитых стран в мировом товарном экспорте,0.012342
2022,Нормальное значение,Данные скорректированы страной,Доля развивающихся стран и наименее развитых стран в мировом товарном экспорте,0.009058
2023,Нормальное значение,Данные скорректированы страной,Доля развивающихся стран и наименее развитых стран в мировом товарном экспорте,0.013895
2000,Нормальное значение,Данные скорректированы страной,Доля развивающихся стран и наименее развитых стран в мировом экспорте услуг,0.004076
2001,Нормальное значение,Данные скорректированы страной,Доля развивающихся стран и наименее развитых стран в мировом экспорте услуг,0.005428
2002,Нормальное значение,Данные скорректированы страной,Доля развивающихся стран и наименее развитых стран в мировом экспорте услуг,0.008691
2003,Нормальное значение,Данные скорректированы страной,Доля развивающихся стран и наименее развитых стран в мировом экспорте услуг,0.008341
2004,Нормальное значение,Данные скорректированы страной,Доля развивающихся стран и наименее развитых стран в мировом экспорте услуг,0.009113
2005,Нормальное значение,Данные скорректированы страной,Доля развивающихся стран и наименее развитых стран в мировом экспорте услуг,0.009622
2006,Нормальное значение,Данные скорректированы страной,Доля развивающихся стран и наименее развитых стран в мировом экспорте услуг,0.01244
2007,Нормальное значение,Данные скорректированы страной,Доля развивающихся стран и наименее развитых стран в мировом экспорте услуг,0.018808
2008,Нормальное значение,Данные скорректированы страной,Доля развивающихся стран и наименее развитых стран в мировом экспорте услуг,0.019704
