Year,Sex,Age,Education level,COMPOSITE_BREAKDOWN,Value
2009,,,,,2093
2010,,,,,1789
2011,,,,,1809
2012,,,,,2415
2013,,,,,2339
2014,,,,,2629
2015,,,,,3333
2016,,,,,7005
2017,,,,,7323
2018,,,,,7178
2019,,,,,6145
2020,,,,,8254
2009,Female,,,,1927
2010,Female,,,,1659
2011,Female,,,,1714
2012,Female,,,,2341
2013,Female,,,,2269
2014,Female,,,,2531
2015,Female,,,,3229
2016,Female,,,,6795
2017,Female,,,,6966
2018,Female,,,,6562
2019,Female,,,,5659
2020,Female,,,,7891
2009,Male,,,,166
2010,Male,,,,130
2011,Male,,,,95
2012,Male,,,,74
2013,Male,,,,70
2014,Male,,,,98
2015,Male,,,,104
2016,Male,,,,210
2017,Male,,,,357
2018,Male,,,,616
2019,Male,,,,486
2020,Male,,,,363
2009,,under 20 years old,,,126
2010,,under 20 years old,,,212
2011,,under 20 years old,,,37
2012,,under 20 years old,,,92
2013,,under 20 years old,,,73
2014,,under 20 years old,,,100
2015,,under 20 years old,,,134
2016,,under 20 years old,,,533
2017,,under 20 years old,,,394
2018,,under 20 years old,,,250
2019,,under 20 years old,,,561
2009,,21 to 30 years old,,,738
2010,,21 to 30 years old,,,634
2011,,21 to 30 years old,,,476
2012,,21 to 30 years old,,,654
2013,,21 to 30 years old,,,678
2014,,21 to 30 years old,,,837
2015,,21 to 30 years old,,,1054
2016,,21 to 30 years old,,,2085
2017,,21 to 30 years old,,,1888
2018,,21 to 30 years old,,,2108
2019,,21 to 30 years old,,,1879
2009,,31 to 40 years old,,,762
2010,,31 to 40 years old,,,552
2011,,31 to 40 years old,,,687
2012,,31 to 40 years old,,,1108
2013,,31 to 40 years old,,,957
2014,,31 to 40 years old,,,904
2015,,31 to 40 years old,,,1264
2016,,31 to 40 years old,,,2422
2017,,31 to 40 years old,,,2531
2018,,31 to 40 years old,,,2385
2019,,31 to 40 years old,,,1974
2009,,41 to 50 years old,,,336
2010,,41 to 50 years old,,,283
2011,,41 to 50 years old,,,461
2012,,41 to 50 years old,,,424
2013,,41 to 50 years old,,,463
