Year,SERIES,Value
2007,Proportion of drinking water samples that do not meet established sanitary-chemical standards,2.1
2008,Proportion of drinking water samples that do not meet established sanitary-chemical standards,2.4
2009,Proportion of drinking water samples that do not meet established sanitary-chemical standards,2.0
2010,Proportion of drinking water samples that do not meet established sanitary-chemical standards,2.9
2011,Proportion of drinking water samples that do not meet established sanitary-chemical standards,2.0
2012,Proportion of drinking water samples that do not meet established sanitary-chemical standards,2.5
2013,Proportion of drinking water samples that do not meet established sanitary-chemical standards,2.5
2014,Proportion of drinking water samples that do not meet established sanitary-chemical standards,1.3
2015,Proportion of drinking water samples that do not meet established sanitary-chemical standards,1.6
2016,Proportion of drinking water samples that do not meet established sanitary-chemical standards,2.1
2017,Proportion of drinking water samples that do not meet established sanitary-chemical standards,2.0
2018,Proportion of drinking water samples that do not meet established sanitary-chemical standards,1.7
2019,Proportion of drinking water samples that do not meet established sanitary-chemical standards,1.4
2020,Proportion of drinking water samples that do not meet established sanitary-chemical standards,1.1
2021,Proportion of drinking water samples that do not meet established sanitary-chemical standards,0.9
2007,Proportion of drinking water samples that do not meet established microbiological standards,10.6
2008,Proportion of drinking water samples that do not meet established microbiological standards,10.7
2009,Proportion of drinking water samples that do not meet established microbiological standards,9.5
2010,Proportion of drinking water samples that do not meet established microbiological standards,11.3
2011,Proportion of drinking water samples that do not meet established microbiological standards,12.7
2012,Proportion of drinking water samples that do not meet established microbiological standards,10.7
2013,Proportion of drinking water samples that do not meet established microbiological standards,8.4
2014,Proportion of drinking water samples that do not meet established microbiological standards,6.5
2015,Proportion of drinking water samples that do not meet established microbiological standards,7.7
2016,Proportion of drinking water samples that do not meet established microbiological standards,8.4
2017,Proportion of drinking water samples that do not meet established microbiological standards,8.1
2018,Proportion of drinking water samples that do not meet established microbiological standards,8.2
2019,Proportion of drinking water samples that do not meet established microbiological standards,8.6
2020,Proportion of drinking water samples that do not meet established microbiological standards,7.0
2021,Proportion of drinking water samples that do not meet established microbiological standards,6.5
