Year,Территория,Пол,COMPOSITE_BREAKDOWN,Value
2007,,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3381.0
2008,,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3340.0
2009,,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3135.0
2010,,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3239.0
2011,,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3263.0
2012,,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3312.0
2013,,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3082.0
2014,,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3070.0
2015,,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2970.0
2016,,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2797.0
2017,,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2760.0
2018,,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2657.0
2019,,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2662.0
2020,,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3177.0
2007,,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3420.0
2008,,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3335.0
2009,,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3178.0
2010,,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3283.0
2011,,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3322.0
2012,,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3358.0
2013,,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3190.0
2014,,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3178.0
2015,,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3035.0
2016,,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2846.0
2017,,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2843.0
2018,,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2738.0
2019,,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2757.0
2020,,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3365.0
2007,,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3344.0
2008,,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3345.0
2009,,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3092.0
2010,,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3196.0
2011,,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3205.0
2012,,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3267.0
2013,,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2976.0
2014,,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2963.0
2015,,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2907.0
2016,,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2750.0
2017,,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2677.0
2018,,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2578.0
2019,,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2569.0
2020,,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2992.0
2007,Баткенская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2785.0
2008,Баткенская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2819.0
2009,Баткенская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2862.0
2010,Баткенская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2851.0
2011,Баткенская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3057.0
2012,Баткенская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3382.0
2013,Баткенская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2895.0
2014,Баткенская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2830.0
2015,Баткенская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2848.0
2016,Баткенская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2923.0
2017,Баткенская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2675.0
2018,Баткенская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2572.0
2019,Баткенская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2517.0
2020,Баткенская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3180.0
2007,Баткенская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2906.0
2008,Баткенская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2958.0
2009,Баткенская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2960.0
2010,Баткенская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2928.0
2011,Баткенская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3198.0
2012,Баткенская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3594.0
2013,Баткенская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3213.0
2014,Баткенская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2988.0
2015,Баткенская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3083.0
2016,Баткенская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3098.0
2017,Баткенская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3029.0
2018,Баткенская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2820.0
2019,Баткенская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2664.0
2020,Баткенская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3519.0
2007,Баткенская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2659.0
2008,Баткенская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2675.0
2009,Баткенская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2762.0
2010,Баткенская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2771.0
2011,Баткенская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2912.0
2012,Баткенская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3165.0
2013,Баткенская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2566.0
2014,Баткенская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2667.0
2015,Баткенская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2606.0
2016,Баткенская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2742.0
2017,Баткенская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2307.0
2018,Баткенская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2315.0
2019,Баткенская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2364.0
2020,Баткенская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2828.0
2007,Джалал-Абадская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2728.0
