Year,Территория,GeoCode,Value
2007,,,10.5
2008,,,10.8
2009,,,9.1
2010,,,9.0
2011,,,8.0
2012,,,7.9
2013,,,6.4
2014,,,6.8
2015,,,7.0
2016,,,6.0
2017,,,5.9
2018,,,6.3
2019,,,5.5
2020,,,5.0
2021,,,61.0
2007,Баткенская область,KG05,1.4
2008,Баткенская область,KG05,2.8
2009,Баткенская область,KG05,3.5
2010,Баткенская область,KG05,3.0
2011,Баткенская область,KG05,1.3
2012,Баткенская область,KG05,3.5
2013,Баткенская область,KG05,3.9
2014,Баткенская область,KG05,2.1
2015,Баткенская область,KG05,1.4
2016,Баткенская область,KG05,1.2
2017,Баткенская область,KG05,3.3
2018,Баткенская область,KG05,1.2
2019,Баткенская область,KG05,3.4
2020,Баткенская область,KG05,3.5
2021,Баткенская область,KG05,16.0
2007,Джалал-Абадская область,KG03,2.3
2008,Джалал-Абадская область,KG03,1.4
2009,Джалал-Абадская область,KG03,1.5
2010,Джалал-Абадская область,KG03,2.4
2011,Джалал-Абадская область,KG03,2.2
2012,Джалал-Абадская область,KG03,2.4
2013,Джалал-Абадская область,KG03,2.2
2014,Джалал-Абадская область,KG03,2.1
2015,Джалал-Абадская область,KG03,2.9
2016,Джалал-Абадская область,KG03,1.9
2017,Джалал-Абадская область,KG03,2.5
2018,Джалал-Абадская область,KG03,2.4
2019,Джалал-Абадская область,KG03,2.7
2020,Джалал-Абадская область,KG03,1.8
2021,Джалал-Абадская область,KG03,36.0
2007,Иссык-Кульская область,KG02,34.1
2008,Иссык-Кульская область,KG02,35.1
2009,Иссык-Кульская область,KG02,26.2
2010,Иссык-Кульская область,KG02,33.0
2011,Иссык-Кульская область,KG02,31.4
2012,Иссык-Кульская область,KG02,26.6
2013,Иссык-Кульская область,KG02,24.8
2014,Иссык-Кульская область,KG02,30.6
2015,Иссык-Кульская область,KG02,31.3
2016,Иссык-Кульская область,KG02,19.4
2017,Иссык-Кульская область,KG02,23.5
2018,Иссык-Кульская область,KG02,26.7
2019,Иссык-Кульская область,KG02,29.4
2020,Иссык-Кульская область,KG02,24.4
2021,Иссык-Кульская область,KG02,272.0
2007,Нарынская область,KG04,12.4
2008,Нарынская область,KG04,9.3
2009,Нарынская область,KG04,9.7
2010,Нарынская область,KG04,11.5
2011,Нарынская область,KG04,9.9
2012,Нарынская область,KG04,8.3
2013,Нарынская область,KG04,6.3
2014,Нарынская область,KG04,5.5
2015,Нарынская область,KG04,7.2
2016,Нарынская область,KG04,7.2
2017,Нарынская область,KG04,8.1
2018,Нарынская область,KG04,10.9
2019,Нарынская область,KG04,7.3
2020,Нарынская область,KG04,7.2
2021,Нарынская область,KG04,72.0
2007,Ошская область,KG06,1.0
2008,Ошская область,KG06,2.4
2009,Ошская область,KG06,2.7
2010,Ошская область,KG06,2.5
2011,Ошская область,KG06,2.4
2012,Ошская область,KG06,3.7
2013,Ошская область,KG06,1.6
2014,Ошская область,KG06,2.7
2015,Ошская область,KG06,4.0
2016,Ошская область,KG06,3.4
2017,Ошская область,KG06,2.3
2018,Ошская область,KG06,3.4
2019,Ошская область,KG06,2.1
2020,Ошская область,KG06,2.9
2021,Ошская область,KG06,26.0
2007,Таласская область,KG07,3.6
2008,Таласская область,KG07,4.4
2009,Таласская область,KG07,4.4
2010,Таласская область,KG07,3.5
2011,Таласская область,KG07,2.6
2012,Таласская область,KG07,5.5
2013,Таласская область,KG07,3.7
2014,Таласская область,KG07,4.1
2015,Таласская область,KG07,6.8
2016,Таласская область,KG07,6.3
2017,Таласская область,KG07,2.3
2018,Таласская область,KG07,5.7
2019,Таласская область,KG07,9.0
2020,Таласская область,KG07,7.4
2021,Таласская область,KG07,125.0
2007,Чуйская область,KG08,15.8
2008,Чуйская область,KG08,16.0
2009,Чуйская область,KG08,11.9
2010,Чуйская область,KG08,11.1
2011,Чуйская область,KG08,7.7
2012,Чуйская область,KG08,9.4
2013,Чуйская область,KG08,7.4
2014,Чуйская область,KG08,7.9
2015,Чуйская область,KG08,6.3
2016,Чуйская область,KG08,7.9
2017,Чуйская область,KG08,7.9
2018,Чуйская область,KG08,7.1
2019,Чуйская область,KG08,4.8
2020,Чуйская область,KG08,4.0
2021,Чуйская область,KG08,64.0
2007,г. Бишкек,KG11,24.1
2008,г. Бишкек,KG11,24.3
2009,г. Бишкек,KG11,21.0
2010,г. Бишкек,KG11,16.3
2011,г. Бишкек,KG11,16.0
2012,г. Бишкек,KG11,12.2
2013,г. Бишкек,KG11,9.9
2014,г. Бишкек,KG11,10.0
2015,г. Бишкек,KG11,8.1
2016,г. Бишкек,KG11,8.1
2017,г. Бишкек,KG11,6.6
2018,г. Бишкек,KG11,6.5
2019,г. Бишкек,KG11,3.3
2020,г. Бишкек,KG11,3.2
2021,г. Бишкек,KG11,52.0
2007,г. Ош,KG21,1.6
2008,г. Ош,KG21,3.5
2009,г. Ош,KG21,3.1
2010,г. Ош,KG21,3.9
2011,г. Ош,KG21,3.5
2012,г. Ош,KG21,5.8
2013,г. Ош,KG21,4.9
2014,г. Ош,KG21,1.9
2015,г. Ош,KG21,4.4
2016,г. Ош,KG21,6.1
2017,г. Ош,KG21,3.5
2018,г. Ош,KG21,2.7
2019,г. Ош,KG21,1.6
2020,г. Ош,KG21,3.5
2021,г. Ош,KG21,9.0
